date,spring_no_effects,spring_without_rapid_tests_and_no_vaccinations,spring_without_rapid_tests_without_seasonality,spring_without_vaccinations_without_seasonality
2021-01-17,115.89,115.89,115.89,116.39
2021-01-24,110.22,109.81,110.22,114.38
2021-01-31,93.49,92.22,93.49,97.82
2021-02-07,82.67,81.06,82.67,86.74
2021-02-14,75.49,72.33,75.49,79.47
2021-02-21,70.48,65.65,70.48,73.66
2021-02-28,70.77,62.96,70.75,72.54
2021-03-07,75.64,63.84,75.74,78.66
2021-03-14,91.5,72.21,91.22,101.61
2021-03-21,116.09,84.63,115.47,136.69
2021-03-28,155.08,102.85,151.82,190.3
2021-04-04,201.47,120.09,191.93,249.02
2021-04-11,248.81,129.28,226.23,299.25
2021-04-18,422.58,194.83,367.69,454.1
2021-04-25,559.94,229.98,463.12,564.7
2021-05-02,713.61,262.06,557.22,613.33
2021-05-09,879.16,292.99,645.59,637.09
2021-05-16,1044.74,323.24,719.99,621.55
2021-05-23,1155.3,343.02,737.04,579.92
2021-05-30,1200.11,356.4,704.65,522.53
2021-06-06,1186.55,358.3,656.06,479.77
