date,spring_no_effects,spring_without_rapid_tests_and_no_vaccinations,spring_without_rapid_tests_without_seasonality,spring_without_vaccinations_without_seasonality
2021-01-17,15.45,15.45,15.45,15.45
2021-01-24,15.72,15.72,15.72,15.72
2021-01-31,14.26,14.21,14.26,14.27
2021-02-07,11.63,11.52,11.63,11.62
2021-02-14,8.93,8.91,8.93,8.95
2021-02-21,6.25,6.44,6.25,6.35
2021-02-28,4.54,4.46,4.54,4.5
2021-03-07,3.78,3.53,3.79,3.68
2021-03-14,3.47,3.27,3.51,3.32
2021-03-21,3.84,3.17,3.75,3.47
2021-03-28,4.48,3.45,4.37,3.78
2021-04-04,5.6,4.13,5.39,4.37
2021-04-11,7.55,4.97,7.11,5.32
2021-04-18,11.05,6.21,9.9,6.87
2021-04-25,17.61,7.99,13.07,8.53
2021-05-02,31.85,9.33,18.23,9.42
2021-05-09,47.14,11.12,26.65,10.45
2021-05-16,60.26,12.63,32.77,10.51
2021-05-23,73.18,14.1,34.64,10.31
2021-05-30,83.43,15.68,32.81,9.76
2021-06-06,87.68,16.38,31.07,9.23
