date,spring_no_effects,spring_without_rapid_tests_and_no_vaccinations,spring_without_rapid_tests_without_seasonality,spring_without_vaccinations_without_seasonality
2021-01-17,309.31,308.33,309.31,307.82
2021-01-24,325.41,322.31,325.41,322.36
2021-01-31,289.96,285.55,289.96,283.76
2021-02-07,261.65,254.2,261.65,252.15
2021-02-14,240.16,227.73,240.16,227.81
2021-02-21,230.76,211.1,230.76,212.04
2021-02-28,237.76,207.13,237.77,212.84
2021-03-07,269.99,221.3,270.1,234.42
2021-03-14,336.24,255.83,334.34,278.09
2021-03-21,438.41,306.58,433.49,335.73
2021-03-28,597.97,376.47,579.34,406.58
2021-04-04,849.23,474.15,792.76,496.11
2021-04-11,1212.26,595.53,1080.82,601.02
2021-04-18,1637.92,713.17,1391.41,667.93
2021-04-25,2105.43,814.63,1693.79,671.89
2021-05-02,2637.1,920.71,2001.93,647.7
2021-05-09,3208.02,1024.13,2286.95,601.63
2021-05-16,3691.24,1109.93,2456.02,543.16
2021-05-23,3969.11,1168.07,2440.39,477.58
2021-05-30,3963.59,1189.11,2224.51,412.77
2021-06-06,3908.06,1208.3,2072.65,384.72
