date,spring_no_effects,spring_without_rapid_tests_and_no_vaccinations,spring_without_rapid_tests_without_seasonality,spring_without_vaccinations_without_seasonality
2021-01-31,0.85,0.85,0.85,0.84
2021-02-07,0.9,0.89,0.9,0.89
2021-02-14,0.93,0.92,0.93,0.92
2021-02-21,0.95,0.93,0.95,0.93
2021-02-28,0.99,0.96,0.99,0.97
2021-03-07,1.05,1.01,1.05,1.02
2021-03-14,1.13,1.07,1.13,1.1
2021-03-21,1.18,1.12,1.18,1.13
2021-03-28,1.23,1.15,1.22,1.14
2021-04-04,1.26,1.17,1.24,1.14
2021-04-11,1.29,1.18,1.25,1.15
2021-04-18,1.27,1.17,1.23,1.12
2021-04-25,1.22,1.12,1.18,1.04
2021-05-02,1.19,1.1,1.15,0.99
2021-05-09,1.17,1.09,1.12,0.96
2021-05-16,1.14,1.08,1.09,0.94
2021-05-23,1.11,1.06,1.05,0.93
