date,spring_no_effects,spring_without_rapid_tests_and_no_vaccinations,spring_without_rapid_tests,spring_baseline
2021-01-17,115.89,115.89,115.89,116.39
2021-01-24,110.22,109.81,109.81,114.11
2021-01-31,93.49,92.22,92.22,97.22
2021-02-07,82.67,81.06,81.06,85.65
2021-02-14,75.49,72.33,72.33,76.56
2021-02-21,70.48,65.65,65.65,68.79
2021-02-28,70.77,62.96,62.96,65.67
2021-03-07,75.64,63.84,63.79,67.38
2021-03-14,91.5,72.21,72.01,80.76
2021-03-21,116.09,84.63,83.64,99.91
2021-03-28,155.08,102.85,99.56,126.56
2021-04-04,201.47,120.09,112.95,145.78
2021-04-11,248.81,129.28,116.49,148.59
2021-04-18,422.58,194.83,166.75,188.83
2021-04-25,559.94,229.98,186.03,195.07
2021-05-02,713.61,262.06,199.17,171.82
2021-05-09,879.16,292.99,207.96,142.25
2021-05-16,1044.74,323.24,211.97,108.39
2021-05-23,1155.3,343.02,203.21,77.17
2021-05-30,1200.11,356.4,187.11,51.55
2021-06-06,1186.55,358.3,172.81,38.61
