date,spring_no_effects,spring_without_rapid_tests_and_no_vaccinations,spring_without_rapid_tests,spring_baseline
2021-01-17,15.45,15.45,15.45,15.45
2021-01-24,15.72,15.72,15.72,15.72
2021-01-31,14.26,14.21,14.21,14.22
2021-02-07,11.63,11.52,11.52,11.68
2021-02-14,8.93,8.91,8.91,8.98
2021-02-21,6.25,6.44,6.44,6.31
2021-02-28,4.54,4.46,4.46,4.37
2021-03-07,3.78,3.53,3.53,3.47
2021-03-14,3.47,3.27,3.26,3.08
2021-03-21,3.84,3.17,3.14,2.91
2021-03-28,4.48,3.45,3.44,2.95
2021-04-04,5.6,4.13,3.88,3.16
2021-04-11,7.55,4.97,4.67,3.5
2021-04-18,11.05,6.21,5.65,3.74
2021-04-25,17.61,7.99,6.81,3.78
2021-05-02,31.85,9.33,7.42,3.55
2021-05-09,47.14,11.12,8.24,3.26
2021-05-16,60.26,12.63,8.44,2.65
2021-05-23,73.18,14.1,8.35,2.01
2021-05-30,83.43,15.68,7.85,1.51
2021-06-06,87.68,16.38,7.48,1.21
