date,spring_no_effects,spring_without_rapid_tests_and_no_vaccinations,spring_without_rapid_tests,spring_baseline
2021-01-17,309.31,308.33,308.33,306.01
2021-01-24,325.41,322.31,322.31,320.5
2021-01-31,289.96,285.55,285.55,281.03
2021-02-07,261.65,254.2,254.2,246.08
2021-02-14,240.16,227.73,227.73,216.01
2021-02-21,230.76,211.1,211.1,194.88
2021-02-28,237.76,207.13,207.09,187.48
2021-03-07,269.99,221.3,221.07,193.47
2021-03-14,336.24,255.83,254.1,210.81
2021-03-21,438.41,306.58,300.64,230.96
2021-03-28,597.97,376.47,360.91,248.24
2021-04-04,849.23,474.15,437.63,257.75
2021-04-11,1212.26,595.53,523.7,260.56
2021-04-18,1637.92,713.17,594.35,239.43
2021-04-25,2105.43,814.63,641.51,194.12
2021-05-02,2637.1,920.71,677.69,149.05
2021-05-09,3208.02,1024.13,701.5,106.95
2021-05-16,3691.24,1109.93,696.82,73.9
2021-05-23,3969.11,1168.07,656.65,47.8
2021-05-30,3963.59,1189.11,584.99,29.21
2021-06-06,3908.06,1208.3,546.77,21.77
