date,spring_no_effects,spring_without_seasonality,spring_without_vaccines,spring_without_rapid_tests,spring_baseline
2021-01-17,115.89,116.39,116.39,115.89,116.39
2021-01-24,110.22,114.38,114.11,109.81,114.11
2021-01-31,93.49,97.82,97.22,92.22,97.22
2021-02-07,82.67,86.74,85.65,81.06,85.65
2021-02-14,75.49,79.47,76.56,72.33,76.56
2021-02-21,70.48,73.66,68.79,65.65,68.79
2021-02-28,70.77,72.53,65.67,62.96,65.67
2021-03-07,75.64,78.6,67.1,63.79,67.38
2021-03-14,91.5,101.31,81.05,72.01,80.76
2021-03-21,116.09,135.31,101.02,83.64,99.91
2021-03-28,155.08,187.09,129.67,99.56,126.56
2021-04-04,201.47,238.5,153.5,112.95,145.78
2021-04-11,248.81,274.81,163.96,116.49,148.59
2021-04-18,422.58,398.43,218.26,166.75,188.83
2021-04-25,559.94,472.38,238.1,186.03,195.07
2021-05-02,713.61,483.1,222.52,199.17,171.82
2021-05-09,879.16,467.46,197.11,207.96,142.25
2021-05-16,1044.74,420.42,162.85,211.97,108.39
2021-05-23,1155.3,352.42,127.31,203.21,77.17
2021-05-30,1200.11,279.07,95.65,187.11,51.55
2021-06-06,1186.55,233.18,78.79,172.81,38.61
