date,spring_no_effects,spring_without_seasonality,spring_without_vaccines,spring_without_rapid_tests,spring_baseline
2021-01-17,15.45,15.45,15.45,15.45,15.45
2021-01-24,15.72,15.72,15.72,15.72,15.72
2021-01-31,14.26,14.27,14.22,14.21,14.22
2021-02-07,11.63,11.62,11.68,11.52,11.68
2021-02-14,8.93,8.95,8.98,8.91,8.98
2021-02-21,6.25,6.35,6.31,6.44,6.31
2021-02-28,4.54,4.5,4.37,4.46,4.37
2021-03-07,3.78,3.69,3.46,3.53,3.47
2021-03-14,3.47,3.31,3.04,3.26,3.08
2021-03-21,3.84,3.37,3.0,3.14,2.91
2021-03-28,4.48,3.71,2.96,3.44,2.95
2021-04-04,5.6,4.4,3.19,3.88,3.16
2021-04-11,7.55,5.15,3.57,4.67,3.5
2021-04-18,11.05,6.2,4.04,5.65,3.74
2021-04-25,17.61,7.1,4.39,6.81,3.78
2021-05-02,31.85,7.4,4.53,7.42,3.55
2021-05-09,47.14,7.72,4.27,8.24,3.26
2021-05-16,60.26,7.3,3.86,8.44,2.65
2021-05-23,73.18,6.33,3.13,8.35,2.01
2021-05-30,83.43,5.16,2.61,7.85,1.51
2021-06-06,87.68,4.52,2.23,7.48,1.21
