date,spring_no_effects,spring_without_seasonality,spring_without_vaccines,spring_without_rapid_tests,spring_baseline
2021-01-17,309.31,307.82,306.01,308.33,306.01
2021-01-24,325.41,322.36,320.5,322.31,320.5
2021-01-31,289.96,283.76,281.03,285.55,281.03
2021-02-07,261.65,252.15,246.08,254.2,246.08
2021-02-14,240.16,227.81,216.01,227.73,216.01
2021-02-21,230.76,212.04,194.88,211.1,194.88
2021-02-28,237.76,212.89,187.15,207.09,187.48
2021-03-07,269.99,233.6,193.37,221.07,193.47
2021-03-14,336.24,276.06,212.17,254.1,210.81
2021-03-21,438.41,330.8,235.47,300.64,230.96
2021-03-28,597.97,394.26,258.86,360.91,248.24
2021-04-04,849.23,462.67,280.59,437.63,257.75
2021-04-11,1212.26,533.56,298.3,523.7,260.56
2021-04-18,1637.92,562.41,288.92,594.35,239.43
2021-04-25,2105.43,534.9,249.23,641.51,194.12
2021-05-02,2637.1,479.41,203.89,677.69,149.05
2021-05-09,3208.02,407.54,159.35,701.5,106.95
2021-05-16,3691.24,331.93,120.55,696.82,73.9
2021-05-23,3969.11,256.42,88.64,656.65,47.8
2021-05-30,3963.59,187.64,63.38,584.99,29.21
2021-06-06,3908.06,157.03,53.05,546.77,21.77
