date,spring_no_effects,spring_without_seasonality,spring_without_vaccines,spring_without_rapid_tests,spring_baseline
2021-01-31,0.85,0.84,0.84,0.85,0.84
2021-02-07,0.9,0.89,0.89,0.89,0.89
2021-02-14,0.93,0.92,0.9,0.92,0.9
2021-02-21,0.95,0.93,0.91,0.93,0.91
2021-02-28,0.99,0.97,0.94,0.96,0.94
2021-03-07,1.05,1.02,0.99,1.01,0.99
2021-03-14,1.13,1.09,1.04,1.07,1.04
2021-03-21,1.18,1.13,1.07,1.11,1.06
2021-03-28,1.23,1.13,1.07,1.14,1.06
2021-04-04,1.26,1.12,1.06,1.15,1.04
2021-04-11,1.29,1.12,1.05,1.15,1.02
2021-04-18,1.27,1.08,1.02,1.13,0.98
2021-04-25,1.22,1.0,0.94,1.08,0.9
2021-05-02,1.19,0.95,0.88,1.06,0.84
2021-05-09,1.17,0.91,0.85,1.04,0.8
2021-05-16,1.14,0.88,0.83,1.02,0.77
2021-05-23,1.11,0.86,0.81,0.99,0.76
