date,spring_baseline,spring_vaccinate_1_pct_per_day_after_easter,spring_without_vaccines
2021-01-17,116.39,116.39,116.39
2021-01-24,114.11,114.11,114.11
2021-01-31,97.22,97.22,97.22
2021-02-07,85.65,85.65,85.65
2021-02-14,76.56,76.56,76.56
2021-02-21,68.79,68.79,68.79
2021-02-28,65.67,65.67,65.67
2021-03-07,67.38,67.38,67.1
2021-03-14,80.76,80.76,81.05
2021-03-21,99.91,99.91,101.02
2021-03-28,126.56,126.56,129.67
2021-04-04,145.78,145.78,153.5
2021-04-11,148.59,148.59,163.96
2021-04-18,188.83,188.83,218.26
2021-04-25,195.07,195.09,238.1
2021-05-02,171.82,171.34,222.52
2021-05-09,142.25,139.99,197.11
2021-05-16,108.39,103.79,162.85
2021-05-23,77.17,69.29,127.31
2021-05-30,51.55,41.97,95.65
2021-06-06,38.61,29.39,78.79
