date,spring_baseline,spring_vaccinate_1_pct_per_day_after_easter,spring_without_vaccines
2021-01-17,15.45,15.45,15.45
2021-01-24,15.72,15.72,15.72
2021-01-31,14.22,14.22,14.22
2021-02-07,11.68,11.68,11.68
2021-02-14,8.98,8.98,8.98
2021-02-21,6.31,6.31,6.31
2021-02-28,4.37,4.37,4.37
2021-03-07,3.47,3.47,3.46
2021-03-14,3.08,3.08,3.04
2021-03-21,2.91,2.91,3.0
2021-03-28,2.95,2.95,2.96
2021-04-04,3.16,3.16,3.19
2021-04-11,3.5,3.5,3.57
2021-04-18,3.74,3.74,4.04
2021-04-25,3.78,3.78,4.39
2021-05-02,3.55,3.54,4.53
2021-05-09,3.26,3.24,4.27
2021-05-16,2.65,2.59,3.86
2021-05-23,2.01,1.89,3.13
2021-05-30,1.51,1.36,2.61
2021-06-06,1.21,1.01,2.23
