date,spring_baseline,spring_vaccinate_1_pct_per_day_after_easter,spring_without_vaccines
2021-01-17,306.01,306.01,306.01
2021-01-24,320.5,320.5,320.5
2021-01-31,281.03,281.03,281.03
2021-02-07,246.08,246.08,246.08
2021-02-14,216.01,216.01,216.01
2021-02-21,194.88,194.88,194.88
2021-02-28,187.48,187.48,187.15
2021-03-07,193.47,193.47,193.37
2021-03-14,210.81,210.81,212.17
2021-03-21,230.96,230.96,235.47
2021-03-28,248.24,248.24,258.86
2021-04-04,257.75,257.75,280.59
2021-04-11,260.56,260.56,298.3
2021-04-18,239.43,239.43,288.92
2021-04-25,194.12,193.73,249.23
2021-05-02,149.05,146.85,203.89
2021-05-09,106.95,102.91,159.35
2021-05-16,73.9,66.91,120.55
2021-05-23,47.8,39.2,88.64
2021-05-30,29.21,21.14,63.38
2021-06-06,21.77,14.44,53.05
