date,spring_baseline,spring_vaccinate_1_pct_per_day_after_easter,spring_without_vaccines
2021-01-31,0.84,0.84,0.84
2021-02-07,0.89,0.89,0.89
2021-02-14,0.9,0.9,0.9
2021-02-21,0.91,0.91,0.91
2021-02-28,0.94,0.94,0.94
2021-03-07,0.99,0.99,0.99
2021-03-14,1.04,1.04,1.04
2021-03-21,1.06,1.06,1.07
2021-03-28,1.06,1.06,1.07
2021-04-04,1.04,1.04,1.06
2021-04-11,1.02,1.02,1.05
2021-04-18,0.98,0.98,1.02
2021-04-25,0.9,0.9,0.94
2021-05-02,0.84,0.84,0.88
2021-05-09,0.8,0.79,0.85
2021-05-16,0.77,0.75,0.83
2021-05-23,0.76,0.72,0.81
