date,new_known_case,newly_deceased,share_ever_rapid_test,share_rapid_test_in_last_week,share_b117,ever_vaccinated,r_effective
2020-02-09,0.051,0.0,,,,,
2020-02-10,0.08,0.0,,,,,
2020-02-11,0.079,0.0,,,,,
2020-02-12,0.067,0.0,,,,,
2020-02-13,0.061,0.0,,,,,
2020-02-14,0.059,0.001,,,,,
2020-02-15,0.067,0.001,,,,,
2020-02-16,0.076,0.001,,,,,
2020-02-17,0.073,0.001,,,,,
2020-02-18,0.081,0.002,,,,,
2020-02-19,0.092,0.004,,,,,
2020-02-20,0.123,0.007,,,,,
2020-02-21,0.137,0.006,,,,,
2020-02-22,0.152,0.006,,,,,
2020-02-23,0.189,0.007,,,,,
2020-02-24,0.258,0.007,,,,,
2020-02-25,0.37,0.008,,,,,
2020-02-26,0.546,0.017,,,,,
2020-02-27,0.704,0.016,,,,,
2020-02-28,0.945,0.02,,,,,
2020-02-29,1.145,0.023,,,,,
2020-03-01,1.373,0.027,,,,,
2020-03-02,1.647,0.037,,,,,
2020-03-03,1.886,0.048,,,,,
2020-03-04,2.195,0.051,,,,,
2020-03-05,2.549,0.059,,,,,
2020-03-06,3.102,0.077,,,,,2.34
2020-03-07,3.854,0.101,,,,,2.56
2020-03-08,4.901,0.123,,,,,2.93
2020-03-09,6.673,0.143,,,,,3.13
2020-03-10,9.019,0.172,,,,,3.22
2020-03-11,11.917,0.218,,,,,3.12
2020-03-12,15.171,0.28,,,,,2.84
2020-03-13,19.058,0.351,,,,,2.5
2020-03-14,22.759,0.398,,,,,2.18
2020-03-15,26.296,0.488,,,,,1.99
2020-03-16,30.77,0.62,,,,,1.74
2020-03-17,34.0,0.731,,,,,1.56
2020-03-18,36.798,0.845,,,,,1.39
2020-03-19,38.522,0.925,,,,,1.24
2020-03-20,40.071,1.066,,,,,1.13
2020-03-21,40.488,1.167,,,,,1.04
2020-03-22,39.727,1.204,,,,,0.98
2020-03-23,39.099,1.347,,,,,0.92
2020-03-24,38.019,1.452,,,,,0.9
2020-03-25,37.323,1.589,,,,,0.9
2020-03-26,36.928,1.712,,,,,0.88
2020-03-27,36.03,1.783,,,,,0.9
2020-03-28,35.673,1.928,,,,,0.9
2020-03-29,35.222,1.982,,,,,0.9
2020-03-30,34.516,2.048,,,,,0.92
2020-03-31,34.433,2.112,,,,,0.93
2020-04-01,34.294,2.182,,,,,0.93
2020-04-02,34.277,2.306,,,,,0.95
2020-04-03,34.194,2.412,,,,,0.93
2020-04-04,33.39,2.371,,,,,0.92
2020-04-05,32.917,2.41,,,,,0.89
2020-04-06,31.86,2.392,,,,,0.89
2020-04-07,31.258,2.387,,,,,0.87
2020-04-08,30.053,2.342,,,,,0.85
2020-04-09,28.893,2.245,,,,,0.83
2020-04-10,26.722,2.075,,,,,0.81
2020-04-11,25.592,1.996,,,,,0.81
2020-04-12,24.708,1.935,,,,,0.79
2020-04-13,22.647,1.735,,,,,0.79
2020-04-14,20.957,1.608,,,,,0.78
2020-04-15,19.482,1.47,,,,,0.76
2020-04-16,18.113,1.322,,,,,0.78
2020-04-17,17.647,1.233,,,,,0.8
2020-04-18,16.824,1.149,,,,,0.81
2020-04-19,16.087,1.083,,,,,0.84
2020-04-20,15.881,1.078,,,,,0.84
2020-04-21,15.207,1.008,,,,,0.82
2020-04-22,14.588,0.928,,,,,0.83
2020-04-23,13.904,0.896,,,,,0.81
2020-04-24,13.027,0.825,,,,,0.81
2020-04-25,12.394,0.782,,,,,0.83
2020-04-26,11.793,0.706,,,,,0.82
2020-04-27,11.259,0.634,,,,,0.82
2020-04-28,10.739,0.594,,,,,0.81
2020-04-29,9.99,0.552,,,,,0.81
2020-04-30,9.451,0.5,,,,,0.81
2020-05-01,8.737,0.461,,,,,0.82
2020-05-02,8.206,0.417,,,,,0.85
2020-05-03,7.97,0.404,,,,,0.86
2020-05-04,7.56,0.377,,,,,0.89
2020-05-05,7.345,0.342,,,,,0.9
2020-05-06,7.131,0.301,,,,,0.89
2020-05-07,6.788,0.272,,,,,0.9
2020-05-08,6.713,0.27,,,,,0.89
2020-05-09,6.619,0.249,,,,,0.87
2020-05-10,6.436,0.251,,,,,0.87
2020-05-11,6.255,0.225,,,,,0.85
2020-05-12,5.947,0.199,,,,,0.85
2020-05-13,5.692,0.199,,,,,0.85
2020-05-14,5.429,0.176,,,,,0.89
2020-05-15,5.341,0.171,,,,,0.92
2020-05-16,5.22,0.19,,,,,0.93
2020-05-17,5.154,0.176,,,,,0.96
2020-05-18,5.087,0.164,,,,,0.92
2020-05-19,4.953,0.16,,,,,0.92
2020-05-20,4.952,0.165,,,,,0.91
2020-05-21,4.681,0.153,,,,,0.85
2020-05-22,4.328,0.131,,,,,0.83
2020-05-23,4.147,0.116,,,,,0.82
2020-05-24,4.025,0.107,,,,,0.81
2020-05-25,3.816,0.104,,,,,0.87
2020-05-26,3.86,0.105,,,,,0.89
2020-05-27,3.653,0.084,,,,,0.91
2020-05-28,3.693,0.087,,,,,0.94
2020-05-29,3.623,0.078,,,,,0.92
2020-05-30,3.612,0.071,,,,,0.92
2020-05-31,3.52,0.071,,,,,0.87
2020-06-01,3.269,0.069,,,,,0.89
2020-06-02,2.996,0.059,,,,,0.89
2020-06-03,2.919,0.051,,,,,0.91
2020-06-04,2.925,0.046,,,,,0.95
2020-06-05,2.925,0.047,,,,,0.96
2020-06-06,2.837,0.049,,,,,0.96
2020-06-07,2.8,0.048,,,,,1.01
2020-06-08,2.951,0.043,,,,,1.03
2020-06-09,3.029,0.042,,,,,1.04
2020-06-10,3.061,0.045,,,,,1.06
2020-06-11,2.893,0.042,,,,,1.05
2020-06-12,2.883,0.052,,,,,1.07
2020-06-13,2.969,0.048,,,,,1.11
2020-06-14,3.06,0.046,,,,,1.19
2020-06-15,3.101,0.047,,,,,1.43
2020-06-16,3.727,0.048,,,,,1.48
2020-06-17,4.001,0.046,,,,,1.47
2020-06-18,4.296,0.045,,,,,1.42
2020-06-19,4.753,0.034,,,,,1.19
2020-06-20,4.882,0.039,,,,,1.13
2020-06-21,4.986,0.04,,,,,1.04
2020-06-22,5.129,0.039,,,,,0.83
2020-06-23,4.624,0.04,,,,,0.76
2020-06-24,4.33,0.036,,,,,0.73
2020-06-25,4.258,0.042,,,,,0.73
2020-06-26,3.959,0.043,,,,,0.83
2020-06-27,3.813,0.036,,,,,0.87
2020-06-28,3.713,0.031,,,,,0.89
2020-06-29,3.634,0.033,,,,,0.93
2020-06-30,3.567,0.027,,,,,0.95
2020-07-01,3.524,0.03,,,,,0.94
2020-07-02,3.419,0.029,,,,,0.93
2020-07-03,3.304,0.027,,,,,0.9
2020-07-04,3.253,0.027,,,,,0.92
2020-07-05,3.224,0.031,,,,,0.92
2020-07-06,3.116,0.03,,,,,0.93
2020-07-07,3.037,0.035,,,,,0.93
2020-07-08,2.984,0.031,,,,,0.95
2020-07-09,2.966,0.03,,,,,1.01
2020-07-10,3.022,0.03,,,,,1.07
2020-07-11,3.095,0.031,,,,,1.12
2020-07-12,3.093,0.027,,,,,1.17
2020-07-13,3.219,0.028,,,,,1.19
2020-07-14,3.322,0.027,,,,,1.23
2020-07-15,3.536,0.029,,,,,1.23
2020-07-16,3.667,0.033,,,,,1.19
2020-07-17,3.757,0.033,,,,,1.17
2020-07-18,3.935,0.033,,,,,1.14
2020-07-19,4.125,0.042,,,,,1.16
2020-07-20,4.296,0.047,,,,,1.17
2020-07-21,4.452,0.046,,,,,1.19
2020-07-22,4.577,0.047,,,,,1.2
2020-07-23,4.745,0.042,,,,,1.19
2020-07-24,4.992,0.04,,,,,1.17
2020-07-25,5.098,0.041,,,,,1.14
2020-07-26,5.17,0.036,,,,,1.12
2020-07-27,5.261,0.035,,,,,1.09
2020-07-28,5.419,0.033,,,,,1.06
2020-07-29,5.54,0.031,,,,,1.06
2020-07-30,5.673,0.034,,,,,1.05
2020-07-31,5.823,0.048,,,,,1.08
2020-08-01,5.953,0.046,,,,,1.13
2020-08-02,6.083,0.045,,,,,1.17
2020-08-03,6.336,0.041,,,,,1.19
2020-08-04,6.587,0.043,,,,,1.19
2020-08-05,6.861,0.039,,,,,1.17
2020-08-06,7.248,0.037,,,,,1.17
2020-08-07,7.473,0.027,,,,,1.16
2020-08-08,7.643,0.03,,,,,1.13
2020-08-09,7.712,0.03,,,,,1.14
2020-08-10,8.147,0.035,,,,,1.14
2020-08-11,8.492,0.035,,,,,1.16
2020-08-12,9.039,0.043,,,,,1.18
2020-08-13,9.449,0.045,,,,,1.17
2020-08-14,9.814,0.046,,,,,1.15
2020-08-15,9.963,0.046,,,,,1.12
2020-08-16,10.176,0.043,,,,,1.07
2020-08-17,10.535,0.041,,,,,1.06
2020-08-18,10.883,0.042,,,,,1.03
2020-08-19,11.006,0.039,,,,,0.99
2020-08-20,10.986,0.036,,,,,0.97
2020-08-21,11.169,0.03,,,,,0.95
2020-08-22,11.278,0.027,,,,,0.95
2020-08-23,11.319,0.028,,,,,0.97
2020-08-24,11.264,0.024,,,,,0.98
2020-08-25,11.284,0.023,,,,,0.98
2020-08-26,11.173,0.019,,,,,0.98
2020-08-27,11.205,0.02,,,,,0.98
2020-08-28,10.972,0.028,,,,,0.98
2020-08-29,10.777,0.031,,,,,0.97
2020-08-30,10.707,0.03,,,,,0.96
2020-08-31,10.418,0.033,,,,,0.98
2020-09-01,10.327,0.035,,,,,1.01
2020-09-02,10.181,0.042,,,,,1.03
2020-09-03,10.159,0.043,,,,,1.06
2020-09-04,10.41,0.047,,,,,1.06
2020-09-05,10.731,0.051,,,,,1.08
2020-09-06,10.986,0.055,,,,,1.1
2020-09-07,11.466,0.059,,,,,1.09
2020-09-08,11.694,0.069,,,,,1.1
2020-09-09,12.139,0.069,,,,,1.11
2020-09-10,12.463,0.072,,,,,1.12
2020-09-11,12.64,0.075,,,,,1.15
2020-09-12,12.972,0.08,,,,,1.14
2020-09-13,13.208,0.08,,,,,1.15
2020-09-14,13.546,0.082,,,,,1.15
2020-09-15,13.981,0.082,,,,,1.14
2020-09-16,14.399,0.088,,,,,1.12
2020-09-17,14.794,0.094,,,,,1.07
2020-09-18,15.157,0.098,,,,,1.03
2020-09-19,15.208,0.105,,,,,1.01
2020-09-20,15.231,0.12,,,,,1.01
2020-09-21,15.384,0.123,,,,,1.02
2020-09-22,15.411,0.13,,,,,1.04
2020-09-23,15.493,0.128,,,,,1.06
2020-09-24,15.688,0.135,,,,,1.09
2020-09-25,16.006,0.145,,,,,1.11
2020-09-26,16.493,0.146,,,,,1.12
2020-09-27,16.808,0.14,,,,,1.12
2020-09-28,17.264,0.149,,,,,1.13
2020-09-29,17.889,0.141,,,,,1.15
2020-09-30,18.583,0.152,,,,,1.19
2020-10-01,19.566,0.16,,,,,1.23
2020-10-02,20.878,0.175,,,,,1.28
2020-10-03,22.14,0.175,,,,,1.31
2020-10-04,23.146,0.181,,,,,1.36
2020-10-05,24.846,0.208,,,,,1.38
2020-10-06,26.761,0.223,,,,,1.39
2020-10-07,29.01,0.251,,,,,1.38
2020-10-08,31.204,0.276,,,,,1.35
2020-10-09,33.564,0.311,,,,,1.32
2020-10-10,35.651,0.347,,,,,1.29
2020-10-11,37.569,0.367,,,,,1.3
2020-10-12,40.369,0.388,,,,,1.31
2020-10-13,43.448,0.436,,,,,1.34
2020-10-14,47.378,0.46,,,,,1.37
2020-10-15,51.359,0.517,,,,,1.38
2020-10-16,55.74,0.553,,,,,1.37
2020-10-17,59.182,0.595,,,,,1.38
2020-10-18,62.816,0.649,,,,,1.4
2020-10-19,68.114,0.717,,,,,1.42
2020-10-20,74.7,0.814,,,,,1.44
2020-10-21,82.092,0.939,,,,,1.43
2020-10-22,89.43,1.105,,,,,1.39
2020-10-23,96.906,1.239,,,,,1.34
2020-10-24,103.349,1.324,,,,,1.29
2020-10-25,108.551,1.417,,,,,1.26
2020-10-26,115.353,1.566,,,,,1.21
2020-10-27,121.428,1.677,,,,,1.17
2020-10-28,127.052,1.796,,,,,1.13
2020-10-29,131.455,1.84,,,,,1.09
2020-10-30,135.517,1.908,,,,,1.06
2020-10-31,137.487,1.969,,,,,1.04
2020-11-01,140.171,2.049,,,,,1.04
2020-11-02,143.876,2.173,,,,,1.03
2020-11-03,146.136,2.242,,,,,1.03
2020-11-04,147.155,2.257,,,,,1.02
2020-11-05,148.702,2.294,,,,,0.99
2020-11-06,149.563,2.316,,,,,0.98
2020-11-07,151.119,2.334,,,,,0.97
2020-11-08,149.736,2.32,,,,,0.96
2020-11-09,149.029,2.352,,,,,0.96
2020-11-10,149.118,2.447,,,,,0.97
2020-11-11,150.157,2.599,,,,,0.99
2020-11-12,151.5,2.763,,,,,1.02
2020-11-13,152.74,2.981,,,,,1.04
2020-11-14,152.705,3.13,,,,,1.05
2020-11-15,152.325,3.218,,,,,1.05
2020-11-16,151.975,3.325,,,,,1.04
2020-11-17,152.133,3.46,,,,,1.04
2020-11-18,152.701,3.588,,,,,1.02
2020-11-19,153.018,3.705,,,,,1.0
2020-11-20,152.958,3.761,,,,,0.98
2020-11-21,151.44,3.769,,,,,0.95
2020-11-22,150.705,3.805,,,,,0.94
2020-11-23,149.92,3.863,,,,,0.94
2020-11-24,148.628,3.88,,,,,0.94
2020-11-25,147.261,3.958,,,,,0.94
2020-11-26,145.987,4.045,,,,,0.96
2020-11-27,144.672,4.172,,,,,0.98
2020-11-28,146.084,4.304,,,,,1.0
2020-11-29,146.428,4.36,,,,,1.03
2020-11-30,146.666,4.476,,,,,1.07
2020-12-01,148.519,4.694,,,,,1.09
2020-12-02,150.711,4.867,,,,,1.12
2020-12-03,155.18,5.122,,,,,1.14
2020-12-04,159.176,5.319,,,,,1.15
2020-12-05,162.21,5.429,,,,,1.16
2020-12-06,166.357,5.571,,,,,1.16
2020-12-07,171.652,5.775,,,,,1.15
2020-12-08,177.124,6.007,,,,,1.15
2020-12-09,182.264,6.136,,,,,1.13
2020-12-10,186.813,6.414,,,,,1.11
2020-12-11,191.445,6.622,,,,,1.09
2020-12-12,196.178,6.914,,,,,1.07
2020-12-13,198.33,7.043,,,,,1.05
2020-12-14,201.107,7.247,,,,,1.04
2020-12-15,203.239,7.434,0.137,,,,1.03
2020-12-16,206.116,7.712,,,,,1.01
2020-12-17,207.176,7.757,,,,,0.99
2020-12-18,208.01,7.781,,,,,0.97
2020-12-19,206.694,7.735,,,,,0.96
2020-12-20,206.936,7.834,,,,,0.94
2020-12-21,204.29,7.859,,,,,0.91
2020-12-22,202.446,7.884,,,,,0.88
2020-12-23,200.996,7.964,,,,,0.85
2020-12-24,191.278,7.578,,,,,0.83
2020-12-25,176.361,7.14,,,,,0.83
2020-12-26,169.058,6.989,,,,,0.86
2020-12-27,165.682,6.855,,,,,0.89
2020-12-28,163.028,6.841,,,,0.0,0.93
2020-12-29,160.648,6.895,,,,0.001,0.95
2020-12-30,156.939,6.855,,,,0.002,0.95
2020-12-31,154.145,6.781,,,,0.002,0.95
2021-01-01,152.331,6.663,,,,0.002,0.97
2021-01-02,151.152,6.598,,,,0.024,0.98
2021-01-03,150.137,6.571,,,,0.051,0.99
2021-01-04,148.211,6.358,,,,0.122,0.99
2021-01-05,147.369,6.169,,,,0.282,1.0
2021-01-06,144.323,5.884,,,,0.44,1.01
2021-01-07,147.747,6.061,,,,,1.02
2021-01-08,156.518,6.429,,,,,1.0
2021-01-09,157.906,6.388,,,,,0.96
2021-01-10,155.205,6.329,,,,,0.91
2021-01-11,151.851,6.164,,,,,0.88
2021-01-12,147.743,6.041,,,,,0.88
2021-01-13,145.135,6.051,,,,0.011,0.88
2021-01-14,141.208,6.004,,,,0.012,0.9
2021-01-15,136.284,5.912,,,0.018,0.013,0.92
2021-01-16,133.841,5.854,,,0.019,0.014,0.93
2021-01-17,131.853,5.786,,,0.02,0.014,0.94
2021-01-18,128.466,5.764,,,0.022,0.015,0.94
2021-01-19,125.119,5.62,,,0.025,0.016,0.94
2021-01-20,121.355,5.443,,,0.027,0.017,0.94
2021-01-21,117.957,5.213,,,0.029,0.018,0.93
2021-01-22,114.531,5.027,,,0.031,0.019,0.93
2021-01-23,112.03,4.906,,,0.034,0.019,0.92
2021-01-24,109.694,4.725,,,0.036,0.019,0.91
2021-01-25,106.288,4.531,,,0.038,0.02,0.9
2021-01-26,103.208,4.277,,,0.039,0.021,0.88
2021-01-27,99.083,4.016,,,0.041,0.021,0.88
2021-01-28,95.64,3.793,,,0.042,0.022,0.89
2021-01-29,93.054,3.588,,,0.044,0.022,0.89
2021-01-30,91.255,3.48,,,0.045,0.023,0.9
2021-01-31,89.623,3.377,,,0.047,0.023,0.89
2021-02-01,87.852,3.265,,,0.051,0.003,0.89
2021-02-02,84.592,3.1,,,0.054,0.025,0.9
2021-02-03,82.466,2.996,,,0.058,0.053,0.89
2021-02-04,80.263,2.913,,,0.061,0.124,0.89
2021-02-05,77.436,2.769,,,0.065,0.284,0.89
2021-02-06,75.217,2.649,,,0.068,0.447,0.89
2021-02-07,73.648,2.594,,,0.072,,0.88
2021-02-08,71.271,2.469,,,0.087,,0.88
2021-02-09,68.467,2.352,,,0.102,,0.88
2021-02-10,65.737,2.182,,,0.117,,0.89
2021-02-11,63.719,2.063,,,0.131,,0.91
2021-02-12,62.62,1.986,,,0.146,,0.94
2021-02-13,60.925,1.936,,,0.161,0.033,0.97
2021-02-14,61.365,1.907,,,0.176,0.033,0.99
2021-02-15,61.784,1.884,,,0.188,0.034,1.01
2021-02-16,62.127,1.863,,,0.2,0.035,1.03
