,work_multiplier_seasonal,other_multiplier_seasonal,school_multiplier_seasonal,stringency,doubled_stringency,work_multiplier,other_multiplier,school_multiplier,school_multiplier_without_vacations,our_mean_stringency,our_mean_stringency_seasonal
2020-09-15,1.0,1.0,1.0,0.505,1.009,1.0,1.0,1.0,1.0,0.863,1.0
2020-09-16,1.002,1.003,1.002,0.505,1.009,1.0,1.0,1.0,1.0,0.863,1.002
2020-09-17,0.992,1.006,1.004,0.505,1.009,0.988,1.0,1.0,1.0,0.86,1.001
2020-09-18,0.982,1.009,1.006,0.505,1.009,0.976,1.0,1.0,1.0,0.857,1.0
2020-09-19,0.984,1.012,1.008,0.505,1.009,0.976,1.0,1.0,1.0,0.857,1.002
2020-09-20,0.986,1.016,1.01,0.505,1.009,0.976,1.0,1.0,1.0,0.857,1.005
2020-09-21,0.987,1.019,1.012,0.505,1.009,0.976,1.0,1.0,1.0,0.857,1.007
2020-09-22,1.014,1.022,1.014,0.505,1.009,1.0,1.0,1.0,1.0,0.863,1.018
2020-09-23,1.028,1.025,1.015,0.505,1.009,1.012,1.0,1.0,1.0,0.867,1.024
2020-09-24,1.03,1.028,1.017,0.505,1.009,1.012,1.0,1.0,1.0,0.867,1.027
2020-09-25,1.007,1.031,1.019,0.505,1.009,0.988,1.0,1.0,1.0,0.86,1.021
2020-09-26,1.009,1.034,1.021,0.505,1.009,0.988,1.0,1.0,1.0,0.86,1.024
2020-09-27,1.035,1.038,1.023,0.505,1.009,1.012,1.0,1.0,1.0,0.867,1.034
2020-09-28,1.037,1.041,1.025,0.505,1.009,1.012,1.0,1.0,1.0,0.867,1.037
2020-09-29,1.039,1.044,1.027,0.505,1.009,1.012,1.0,1.0,1.0,0.867,1.039
2020-09-30,1.066,1.047,1.029,0.505,1.009,1.036,1.0,1.0,1.0,0.873,1.05
2020-10-01,1.08,1.295,1.031,0.505,1.009,1.048,1.233,1.0,1.0,0.935,1.127
2020-10-02,1.058,1.299,1.033,0.505,1.009,1.024,1.233,1.0,1.0,0.928,1.121
2020-10-03,1.06,1.303,1.035,0.505,1.009,1.024,1.233,1.0,1.0,0.928,1.124
2020-10-04,1.025,1.307,1.037,0.505,1.009,0.988,1.233,1.0,1.0,0.918,1.115
2020-10-05,1.027,1.311,1.039,0.505,1.009,0.988,1.233,1.0,1.0,0.918,1.118
2020-10-06,1.029,1.315,0.95,0.505,1.009,0.988,1.233,0.912,1.0,0.889,1.085
2020-10-07,1.043,1.319,0.86,0.505,1.009,1.0,1.233,0.825,1.0,0.863,1.056
2020-10-08,1.032,1.323,0.771,0.505,1.009,0.988,1.233,0.738,1.0,0.831,1.018
2020-10-09,1.034,1.327,0.68,0.505,1.009,0.988,1.233,0.65,1.0,0.802,0.985
2020-10-10,1.036,1.331,0.59,0.505,1.009,0.988,1.233,0.562,1.0,0.772,0.951
2020-10-11,0.951,1.334,0.499,0.505,1.009,0.905,1.233,0.475,1.0,0.72,0.889
2020-10-12,0.952,1.338,0.408,0.505,1.009,0.905,1.233,0.388,1.0,0.691,0.855
2020-10-13,0.967,1.342,0.316,0.505,1.009,0.917,1.233,0.3,1.0,0.665,0.825
2020-10-14,0.968,1.346,0.317,0.505,1.009,0.917,1.233,0.3,1.0,0.665,0.827
2020-10-15,0.958,1.35,0.318,0.412,0.824,0.905,1.233,0.3,1.0,0.662,0.824
2020-10-16,0.947,1.353,0.318,0.412,0.824,0.893,1.233,0.3,1.0,0.658,0.822
2020-10-17,0.948,1.357,0.319,0.412,0.824,0.893,1.233,0.3,1.0,0.658,0.824
2020-10-18,0.963,1.361,0.319,0.412,0.824,0.905,1.233,0.3,1.0,0.662,0.83
2020-10-19,0.964,1.365,0.32,0.412,0.824,0.905,1.233,0.3,1.0,0.662,0.832
2020-10-20,0.966,1.109,0.32,0.412,0.824,0.905,1.0,0.3,1.0,0.603,0.76
2020-10-21,0.993,1.112,0.321,0.412,0.824,0.929,1.0,0.3,1.0,0.61,0.77
2020-10-22,0.995,1.115,0.321,0.393,0.787,0.929,1.0,0.3,1.0,0.61,0.772
2020-10-23,0.971,1.118,0.322,0.393,0.787,0.905,1.0,0.3,1.0,0.603,0.765
2020-10-24,0.973,1.121,0.35,0.393,0.787,0.905,1.0,0.326,1.0,0.612,0.778
2020-10-25,1.064,1.124,0.378,0.393,0.787,0.988,1.0,0.351,1.0,0.644,0.82
2020-10-26,1.066,1.127,0.407,0.393,0.787,0.988,1.0,0.377,1.0,0.652,0.833
2020-10-27,1.08,1.13,0.435,0.393,0.787,1.0,1.0,0.403,1.0,0.664,0.85
2020-10-28,1.095,1.133,0.464,0.393,0.787,1.012,1.0,0.429,1.0,0.676,0.867
2020-10-29,1.084,1.135,0.492,0.393,0.787,1.0,1.0,0.454,1.0,0.681,0.875
2020-10-30,1.073,1.138,0.521,0.393,0.787,0.988,1.0,0.48,1.0,0.687,0.884
2020-10-31,1.074,1.141,0.55,0.393,0.787,0.988,1.0,0.506,1.0,0.695,0.896
2020-11-01,0.702,0.793,0.579,0.393,0.787,0.644,0.693,0.531,1.0,0.531,0.686
2020-11-02,0.703,0.795,0.608,0.38,0.759,0.644,0.693,0.557,0.66,0.539,0.698
2020-11-03,0.704,0.797,0.637,0.38,0.759,0.644,0.693,0.583,0.66,0.548,0.711
2020-11-04,0.705,0.798,0.666,0.38,0.759,0.644,0.693,0.609,0.66,0.557,0.723
