date,combined_baseline,empirical
2020-09-29,1.265460237404868,1.15
2020-09-30,1.2914105292279516,1.19
2020-10-01,1.309621101730606,1.23
2020-10-02,1.3183411992110718,1.28
2020-10-03,1.3238695182011702,1.31
2020-10-04,1.330085690935711,1.36
2020-10-05,1.3417897917960029,1.38
2020-10-06,1.358101300011193,1.39
2020-10-07,1.3745168297988213,1.38
2020-10-08,1.3883920580659874,1.35
2020-10-09,1.402749002272789,1.32
2020-10-10,1.408820511721611,1.29
2020-10-11,1.4102150861657998,1.3
2020-10-12,1.4088587847367793,1.31
2020-10-13,1.4109491160112515,1.34
2020-10-14,1.4109349473973276,1.37
2020-10-15,1.4134610095958364,1.38
2020-10-16,1.4101370054675102,1.37
2020-10-17,1.4104726820461102,1.38
2020-10-18,1.4068340082152486,1.4
2020-10-19,1.4021792766620438,1.42
2020-10-20,1.4012215838660418,1.44
2020-10-21,1.394694731674541,1.43
2020-10-22,1.394621981919233,1.39
2020-10-23,1.3927298945764077,1.34
2020-10-24,1.3810483897979153,1.29
2020-10-25,1.3608741118168122,1.26
2020-10-26,1.3423723922366577,1.21
2020-10-27,1.3328020723540561,1.17
2020-10-28,1.3255389307094847,1.13
2020-10-29,1.3251529087417433,1.09
2020-10-30,1.3220751977131624,1.06
2020-10-31,1.3183722216965004,1.04
2020-11-01,1.316299043194819,1.04
2020-11-02,1.3109674299886172,1.03
2020-11-03,1.3009792700614382,1.03
2020-11-04,1.2796201416960349,1.02
2020-11-05,1.2559544951445392,0.99
2020-11-06,1.2282522157630302,0.98
2020-11-07,1.19872016072962,0.97
2020-11-08,1.1640759201289685,0.96
2020-11-09,1.1341786412770718,0.96
2020-11-10,1.1087927802384658,0.97
2020-11-11,1.089837217708609,0.99
2020-11-12,1.0774678168953689,1.02
2020-11-13,1.0652103697046207,1.04
2020-11-14,1.0555824073841589,1.05
2020-11-15,1.0442837046804416,1.05
2020-11-16,1.0382946509890612,1.04
2020-11-17,1.0344799673014322,1.04
2020-11-18,1.0328646974528908,1.02
2020-11-19,1.034898926050846,1.0
2020-11-20,1.034481592981893,0.98
2020-11-21,1.03468844429021,0.95
2020-11-22,1.0328576963578397,0.94
2020-11-23,1.0337629164796054,0.94
2020-11-24,1.0359349341188309,0.94
2020-11-25,1.0389893801066454,0.94
