date,spring_baseline,spring_no_effects,spring_without_rapid_tests_without_seasonality,spring_without_rapid_tests_and_no_vaccinations,spring_without_vaccinations_without_seasonality
2021-01-15,0.0010191834896584118,0.0,0.0010191834896584118,0.0,0.0
2021-01-16,0.0016085922924364028,0.0,0.0016085922924364028,0.0,0.0
2021-01-17,0.002252484779197944,0.0,0.002252484779197944,0.0,0.0
2021-01-18,0.0030115009823993076,0.0,0.0030115009823993076,0.0,0.0
2021-01-19,0.003913098216228813,0.0,0.003913098216228813,0.0,0.0
2021-01-20,0.004761319908799854,0.0,0.004761319908799854,0.0,0.0
2021-01-21,0.0055800526921865766,0.0,0.0055800526921865766,0.0,0.0
2021-01-22,0.006360062043679908,0.0,0.006360062043679908,0.0,0.0
2021-01-23,0.0071114443747751,0.0,0.0071114443747751,0.0,0.0
2021-01-24,0.007853222802252858,0.0,0.007853222802252858,0.0,0.0
2021-01-25,0.008571237724625919,0.0,0.008571237724625919,0.0,0.0
2021-01-26,0.00923322987589725,0.0,0.00923322987589725,0.0,0.0
2021-01-27,0.009845170914085384,0.0,0.009845170914085384,0.0,0.0
2021-01-28,0.01042128200416231,0.0,0.01042128200416231,0.0,0.0
2021-01-29,0.010968027312024366,0.0,0.010968027312024366,0.0,0.0
2021-01-30,0.011508431580959521,0.0,0.011508431580959521,0.0,0.0
2021-01-31,0.012048651159440503,0.0,0.012048651159440503,0.0,0.0
2021-02-01,0.012599336530325097,0.0,0.012599336530325097,0.0,0.0
2021-02-02,0.013173970096768569,0.0,0.013173970096768569,0.0,0.0
2021-02-03,0.013770397136805454,0.0,0.013770397136805454,0.0,0.0
2021-02-04,0.014394281491030666,0.0,0.014394281491030666,0.0,0.0
2021-02-05,0.01504611566732201,0.0,0.01504611566732201,0.0,0.0
2021-02-06,0.01571660357948569,0.0,0.01571660357948569,0.0,0.0
2021-02-07,0.016390846864217733,0.0,0.016390846864217733,0.0,0.0
2021-02-08,0.017054809047000342,0.0,0.017054809047000342,0.0,0.0
2021-02-09,0.01771101423070731,0.0,0.01771101423070731,0.0,0.0
2021-02-10,0.018385996277256074,0.0,0.018385996277256074,0.0,0.0
2021-02-11,0.01908295648785245,0.0,0.01908295648785245,0.0,0.0
2021-02-12,0.019803433949614598,0.0,0.019803433949614598,0.0,0.0
2021-02-13,0.020549583384507974,0.0,0.020549583384507974,0.0,0.0
2021-02-14,0.021316110332846062,0.0,0.021316110332846062,0.0,0.0
2021-02-15,0.02211372684097136,0.0,0.02211372684097136,0.0,0.0
2021-02-16,0.02294975896356643,0.0,0.02294975896356643,0.0,0.0
2021-02-17,0.02381749628079598,0.0,0.02381749628079598,0.0,0.0
2021-02-18,0.024715645959480767,0.0,0.024715645959480767,0.0,0.0
2021-02-19,0.0256456239597695,0.0,0.0256456239597695,0.0,0.0
2021-02-20,0.026600042663494923,0.0,0.026600042663494923,0.0,0.0
2021-02-21,0.027583827149435202,0.0,0.027583827149435202,0.0,0.0
2021-02-22,0.028617601184973956,0.0,0.028617601184973956,0.0,0.0
2021-02-23,0.02969514685815374,0.0,0.02969514685815374,0.0,0.0
2021-02-24,0.030812031598074184,0.0,0.030812031598074184,0.0,0.0
2021-02-25,0.03199688242513342,0.0,0.03199688242513342,0.0,0.0
2021-02-26,0.033258626044616914,0.0,0.033258626044616914,0.0,0.0
2021-02-27,0.034575776800354854,0.0,0.034575776800354854,0.0,0.0
2021-02-28,0.035938915479184014,0.0,0.035938915479184014,0.0,0.0
2021-03-01,0.03738159418028066,0.0,0.03738159418028066,0.0,0.0
2021-03-02,0.03892579106769245,0.0,0.03892579106769245,0.0,0.0
2021-03-03,0.040570521125663714,0.0,0.040570521125663714,0.0,0.0
2021-03-04,0.042301193808314104,0.0,0.042301193808314104,0.0,0.0
2021-03-05,0.04413086057440578,0.0,0.04413086057440578,0.0,0.0
2021-03-06,0.04603742013292174,0.0,0.04603742013292174,0.0,0.0
2021-03-07,0.0479993252642074,0.0,0.0479993252642074,0.0,0.0
2021-03-08,0.05003055087929588,0.0,0.05003055087929588,0.0,0.0
2021-03-09,0.05211244324231482,0.0,0.05211244324231482,0.0,0.0
2021-03-10,0.05426931992973146,0.0,0.05426931992973146,0.0,0.0
2021-03-11,0.05649594804534399,0.0,0.05649594804534399,0.0,0.0
2021-03-12,0.05881067350760111,0.0,0.05881067350760111,0.0,0.0
2021-03-13,0.061201737690919945,0.0,0.061201737690919945,0.0,0.0
2021-03-14,0.06362604615599143,0.0,0.06362604615599143,0.0,0.0
2021-03-15,0.06605546439029529,0.0,0.06605546439029529,0.0,0.0
2021-03-16,0.06834076250685281,0.0,0.06834076250685281,0.0,0.0
2021-03-17,0.07046667276145166,0.0,0.07046667276145166,0.0,0.0
2021-03-18,0.07241694239412391,0.0,0.07241694239412391,0.0,0.0
2021-03-19,0.0742088091805931,0.0,0.0742088091805931,0.0,0.0
2021-03-20,0.0759472388623191,0.0,0.0759472388623191,0.0,0.0
2021-03-21,0.07767212457740519,0.0,0.07767212457740519,0.0,0.0
2021-03-22,0.07939817999870105,0.0,0.07939817999870105,0.0,0.0
2021-03-23,0.08130098418464861,0.0,0.08130098418464861,0.0,0.0
2021-03-24,0.08341101106018785,0.0,0.08341101106018785,0.0,0.0
2021-03-25,0.08575922705813659,0.0,0.08575922705813659,0.0,0.0
2021-03-26,0.08832328463353874,0.0,0.08832328463353874,0.0,0.0
2021-03-27,0.09098578222101968,0.0,0.09098578222101968,0.0,0.0
2021-03-28,0.09367727620980712,0.0,0.09367727620980712,0.0,0.0
2021-03-29,0.0964195600734945,0.0,0.0964195600734945,0.0,0.0
2021-03-30,0.09919705825044581,0.0,0.09919705825044581,0.0,0.0
2021-03-31,0.10196150496863501,0.0,0.10196150496863501,0.0,0.0
2021-04-01,0.10468205692221363,0.0,0.10468205692221363,0.0,0.0
2021-04-02,0.10718233472743847,0.0,0.10718233472743847,0.0,0.0
2021-04-03,0.10958349532225256,0.0,0.10958349532225256,0.0,0.0
2021-04-04,0.11198200868722333,0.0,0.11198200868722333,0.0,0.0
2021-04-05,0.11430553772779646,0.0,0.11430553772779646,0.0,0.0
2021-04-06,0.11670589799730906,0.0,0.11670589799730906,0.0,0.0
2021-04-07,0.11969646739490117,0.0,0.11969646739490117,0.0,0.0
2021-04-08,0.12339507843034045,0.0,0.12339507843034045,0.0,0.0
2021-04-09,0.12774312266616678,0.0,0.12774312266616678,0.0,0.0
2021-04-10,0.13232800162773856,0.0,0.13232800162773856,0.0,0.0
2021-04-11,0.1370300974642308,0.0,0.1370300974642308,0.0,0.0
2021-04-12,0.14201323060850277,0.0,0.14201323060850277,0.0,0.0
2021-04-13,0.14737263977142712,0.0,0.14737263977142712,0.0,0.0
2021-04-14,0.15292197228473475,0.0,0.15292197228473475,0.0,0.0
2021-04-15,0.15841306574149067,0.0,0.15841306574149067,0.0,0.0
2021-04-16,0.16387676344754282,0.0,0.16387676344754282,0.0,0.0
2021-04-17,0.16934600186722054,0.0,0.16934600186722054,0.0,0.0
2021-04-18,0.1748439904342658,0.0,0.1748439904342658,0.0,0.0
2021-04-19,0.18034154805691793,0.0,0.18034154805691793,0.0,0.0
2021-04-20,0.1858320258788265,0.0,0.1858320258788265,0.0,0.0
2021-04-21,0.19123920830589916,0.0,0.19123920830589916,0.0,0.0
2021-04-22,0.1965765161778065,0.0,0.1965765161778065,0.0,0.0
2021-04-23,0.20185392277907427,0.0,0.20185392277907427,0.0,0.0
2021-04-24,0.20713890168896346,0.0,0.20713890168896346,0.0,0.0
2021-04-25,0.2124397024144276,0.0,0.2124397024144276,0.0,0.0
2021-04-26,0.21776931485074397,0.0,0.21776931485074397,0.0,0.0
2021-04-27,0.22344491407122719,0.0,0.22344491407122719,0.0,0.0
2021-04-28,0.22972746768763552,0.0,0.22972746768763552,0.0,0.0
2021-04-29,0.23642834518276507,0.0,0.23642834518276507,0.0,0.0
2021-04-30,0.24343771729986247,0.0,0.24343771729986247,0.0,0.0
2021-05-01,0.2503643480934866,0.0,0.2503643480934866,0.0,0.0
2021-05-02,0.25722473657754436,0.0,0.25722473657754436,0.0,0.0
2021-05-03,0.264052188597273,0.0,0.264052188597273,0.0,0.0
2021-05-04,0.27085784714340816,0.0,0.27085784714340816,0.0,0.0
2021-05-05,0.27752215592860974,0.0,0.27752215592860974,0.0,0.0
2021-05-06,0.28410914097699413,0.0,0.28410914097699413,0.0,0.0
2021-05-07,0.2906726703376972,0.0,0.2906726703376972,0.0,0.0
2021-05-08,0.29725442248987977,0.0,0.29725442248987977,0.0,0.0
2021-05-09,0.30381370397013685,0.0,0.30381370397013685,0.0,0.0
2021-05-10,0.31047591959685766,0.0,0.31047591959685766,0.0,0.0
2021-05-11,0.3173371699697015,0.0,0.3173371699697015,0.0,0.0
2021-05-12,0.32443106875132943,0.0,0.32443106875132943,0.0,0.0
2021-05-13,0.33066800382555495,0.0,0.33066800382555495,0.0,0.0
2021-05-14,0.3367009790748793,0.0,0.3367009790748793,0.0,0.0
2021-05-15,0.34267312960129315,0.0,0.34267312960129315,0.0,0.0
2021-05-16,0.3486107430127754,0.0,0.3486107430127754,0.0,0.0
2021-05-17,0.35448205255120613,0.0,0.35448205255120613,0.0,0.0
2021-05-18,0.35988363270116863,0.0,0.35988363270116863,0.0,0.0
2021-05-19,0.36447011231334336,0.0,0.36447011231334336,0.0,0.0
2021-05-20,0.3693932826234908,0.0,0.3693932826234908,0.0,0.0
2021-05-21,0.37411600222736674,0.0,0.37411600222736674,0.0,0.0
2021-05-22,0.3788271478961141,0.0,0.3788271478961141,0.0,0.0
2021-05-23,0.38348971997541154,0.0,0.38348971997541154,0.0,0.0
