date,spring_baseline,spring_no_effects,spring_without_rapid_tests_without_seasonality,spring_without_rapid_tests_and_no_vaccinations,spring_without_vaccinations_without_seasonality
2021-01-15,148.00138764094572,144.8037802442162,144.87704079104154,144.00437839503383,148.50990202479224
2021-01-16,145.56224237605502,141.61479173534843,141.74838449720642,141.21185872780907,145.63550292288033
2021-01-17,142.40557469666905,138.1370704831102,138.36978045537893,137.7190544218127,142.08883056774766
2021-01-18,139.17780119242315,134.91791586672613,135.26482610316378,134.4374128684305,139.31139395428113
2021-01-19,136.85501091366677,131.88837678330177,132.5218650411444,131.72677263589293,136.52318373098728
2021-01-20,133.83624544006966,129.89310424329398,130.16244448897538,128.85668297791196,133.909505986895
2021-01-21,130.97477466995048,126.66102129511717,127.2040112304109,125.87239305576206,131.06527299249942
2021-01-22,128.19949277844933,123.93098856489055,124.46751433428786,122.95059007061025,128.29214582296376
2021-01-23,125.23459535398851,120.87559281788074,121.11045751211493,119.48148770623386,125.35310506208835
2021-01-24,122.24599598790772,117.78572151942376,118.12185814603413,116.6372547118383,122.90749563130123
2021-01-25,119.66463907329717,115.21729293660592,115.7796753695887,114.30800026718555,120.20762900859089
2021-01-26,117.223339086441,113.48920592031409,114.21534722267113,111.92703249536198,118.38257950385373
2021-01-27,115.03629629150802,110.8798376201527,111.79559445546946,109.73568025649816,116.1115025522682
2021-01-28,112.94837070698581,108.33511097895482,108.82638758707772,106.94100586730795,113.92230503536977
2021-01-29,110.52861793978416,105.9088940458568,106.6867486753847,104.64622697410246,111.3258650670011
2021-01-30,107.85676270262468,103.95887066712348,104.69147613537686,102.29542530979519,109.15821476975721
2021-01-31,105.59645936086638,101.53480845599088,102.84272468901978,100.1320844564822,106.94531531123884
2021-02-01,103.70245875323478,99.86489893276622,100.56733829350331,97.57012003956072,105.04485053771089
2021-02-02,102.10150033290456,98.1260383066471,99.02455736624026,95.95192384350689,103.51499794224053
2021-02-03,100.34540193106184,96.67591042389847,97.22320980312307,94.01698351853172,101.89249230225582
2021-02-04,98.05493248178722,95.24086559490796,95.74507053482355,91.73728767908435,99.94246892352248
2021-02-05,96.10059965912299,92.71768617336464,93.6420618965432,89.60195821132223,97.94935110548015
2021-02-06,93.98897213298082,90.85816111718025,91.60154019526092,87.41060597245837,96.2298829770501
2021-02-07,91.67264602012081,89.21410825754101,89.77218124659287,85.35931066134884,94.42422597000198
2021-02-08,89.78510957838556,87.38905875280383,88.28973253436244,83.81652973408578,92.62287840688478
2021-02-09,87.86094286323765,86.02942919260416,86.73617799727215,82.46767378371334,91.08656164551809
2021-02-10,86.410814980489,84.41985188441211,85.18693290411274,80.80638314835048,89.56748265987498
2021-02-11,84.22377218555604,82.27805825075362,83.42006089244275,79.20973417195115,87.63254233489984
2021-02-12,82.36209240740621,80.77621704083414,81.86219691142155,77.17352191459977,86.30738832614736
2021-02-13,80.71588482580151,79.12354529333308,80.48748429746368,75.46913683992788,84.45432743585934
2021-02-14,78.73569533955188,77.40623188686848,79.0481300245423,73.64624205715617,82.80165568835828
2021-02-15,76.94081194233104,76.18665925442312,77.43855271635026,72.02804586110236,81.3213616980933
