date,spring_baseline,spring_no_effects,spring_without_rapid_tests_without_seasonality,spring_without_rapid_tests_and_no_vaccinations,spring_without_vaccinations_without_seasonality
2021-01-15,440.746223311075,444.26703900262225,445.01041808070306,442.1704945302383,441.0004805029983
2021-01-16,431.1986502821609,435.07284037604205,436.65440629868317,433.0193903429671,432.0562296244105
2021-01-17,423.0688843065135,428.00535232936215,429.6063107496924,425.3809009754426,423.5321495290856
2021-01-18,411.8621753642019,417.5829621824747,418.964138962329,413.94794622675863,412.34052364053207
2021-01-19,400.7718214080246,407.2079759188273,409.1730823513188,404.00174963423586,402.2521153982897
2021-01-20,390.6446281704041,398.11720394658875,400.1081670426656,394.0986474810223,392.46105878727934
2021-01-21,381.5969506374745,388.3347662234404,390.70280566347117,384.57477639372803,382.39635248665684
2021-01-22,371.41157990678676,378.56094738815375,381.21987429352055,374.99272781336657,373.3141994022801
2021-01-23,363.9217663548785,372.50402394327045,374.6350439671017,368.9595063101033,367.00517348743904
2021-01-24,356.89090858161114,366.2057716382567,369.1792879505793,362.4953404137497,361.221899732168
2021-01-25,347.83461216081986,357.143011051569,360.13376513961515,353.79888256118875,352.6525704755687
2021-01-26,339.9547939331649,349.47866502045906,351.84239501655907,345.10457943059316,344.25777369817087
2021-01-27,331.39623828639276,342.58140000904984,344.626231154263,337.03514566997836,336.85630374684604
2021-01-28,322.361489085256,335.1519186721741,337.69018114747564,329.60997377703364,329.0648291197746
2021-01-29,314.8436641477968,328.4141030862083,330.719655589241,321.71076305168964,321.807725540135
2021-01-30,310.7863226868522,323.71034503562834,325.910316162354,316.0093687311058,316.836781965839
2021-01-31,305.9166510449324,319.8081435561962,320.61616429324044,311.16770847473697,312.44330387828404
2021-02-01,297.9851194901066,313.30303794249903,314.42564808649917,303.58524187831415,304.9965847656848
2021-02-02,290.3854151179603,306.0459343628595,308.33209436820323,296.09542832640585,298.01313087565745
2021-02-03,283.18648903138785,298.99999353583405,302.49495256379595,289.41148078957633,291.2042094648317
2021-02-04,276.5176245483165,293.53346390948445,295.9187411252389,282.6219518764396,285.3175090552191
2021-02-05,269.8659978409686,287.6338351680791,289.9135310075265,276.6533720321398,278.7003578993185
2021-02-06,264.07841464176676,283.07013404525344,285.9445331471653,271.9000553763545,274.11941900076926
2021-02-07,259.1096257894363,278.90290176407086,282.43233634347996,266.89032680668043,269.9651150513794
2021-02-08,252.05291135258366,272.09613507521055,275.6341885424814,260.445553408016,263.2531561289989
2021-02-09,245.6684701689518,266.5886657315174,270.38097639071145,254.6687438186413,257.1811496303575
2021-02-10,239.52535784545043,261.43241606819265,264.8972089886382,248.67646203272162,251.8934619271403
2021-02-11,232.990086124237,255.69654619616162,260.86572419127896,242.04638254502825,246.1834487186946
2021-02-12,226.6724413215341,251.2987586646757,256.0973244817356,237.11853341004138,240.6652057651741
2021-02-13,222.16691769177564,248.56226176855267,252.32440632023045,233.42318523929256,237.2176506204522
2021-02-14,218.39399953027063,245.1125519018653,249.21298780211896,230.1867928471849,233.38655496587998
2021-02-15,213.14509682243155,242.03129949127015,246.6251667216121,225.09733956478922,229.44772321303526
2021-02-16,210.3051732719669,241.01211600161167,245.49609241171567,222.75084734441288,228.37467167424052
2021-02-17,208.32929322964816,240.27304636746194,244.64066779143158,220.96242811308838,226.7306188146013
2021-02-18,206.07976349771712,240.17608387901663,243.0698754786177,219.6157268846814,226.14884388392943
2021-02-19,203.83023376578603,239.56845228475942,243.68612596073672,217.60537129091546,225.35806092260887
2021-02-20,203.61691629120637,240.3075219189092,245.57366240247197,217.62691851056988,225.6898881052883
2021-02-21,203.60829740334458,242.15196392133535,247.07765833435684,217.8984134782168,227.26929930596407
2021-02-22,202.39303421483015,243.58054458442953,248.35540845986944,217.68294128167167,228.98230326849776
2021-02-23,199.93880589618124,244.0201078653816,248.1054607118771,216.28237200412838,228.5125738800294
2021-02-24,197.73452532552466,244.9444835885601,248.29507624483676,215.37523405667343,229.04263548353043
2021-02-25,196.900647924895,246.49588340368496,249.61807553162384,214.35605056701502,230.38718198997194
2021-02-26,195.83190583003125,247.78871658295571,250.37438294149715,214.05008004792097,231.81791737503153
2021-02-27,195.05405120050338,249.67194358076003,251.25135478143585,213.86261923692672,233.77440491966127
2021-02-28,194.40978933283347,251.78572582886764,253.6430961630866,213.95958172537203,235.33226890068244
2021-03-01,195.5410183646953,257.45479931996977,258.14215562694875,215.95054482144897,239.41331230324695
2021-03-02,196.943742364204,263.7336591272946,264.14521102269566,218.28841815396345,244.29591227695937
2021-03-03,198.227956655613,269.96942449531025,269.872462006865,220.85900145874675,248.97596838591934
2021-03-04,199.35918568747485,277.4269172177368,277.1144825327465,224.24837911040146,254.1171349954859
2021-03-05,201.85435372346728,285.56099263731505,284.64308108003286,227.27791819382588,260.92605640631166
2021-03-06,204.85803614330626,293.79203054533866,292.56599374699687,231.1284063460871,267.6466342165539
2021-03-07,207.94790744176325,302.6824133747902,300.3036003249321,236.0110063197995,274.67102782392476
2021-03-08,209.50577142278448,311.48014315972733,307.7826402670132,239.4844181281068,281.26232231623993
2021-03-09,211.1196581749074,321.38540003490647,316.0330706727258,243.2573362896118,288.1509684397875
2021-03-10,213.34333124325303,331.626793536696,325.32854123168227,247.00008834360057,296.138522765715
2021-03-11,216.03026953417066,342.6331133362206,335.72722943694964,252.42783297457208,304.74232757376154
2021-03-12,217.8251529313915,356.035483961327,347.19035029314995,258.58171890790067,312.691096904311
2021-03-13,219.79241408584843,366.71859546603406,356.1389106156688,263.45354527178586,319.8684757712289
2021-03-14,222.28327267790996,378.18171632223425,366.24671135560027,268.0237105605078,327.92067175612
2021-03-15,224.90556930986412,394.684731855625,381.1810892981424,275.4876674488307,337.7031094792684
2021-03-16,227.75195702622517,411.1662001693611,396.5054719164313,282.6133329885778,347.8583141024398
2021-03-17,230.3462422726284,428.8737052814389,411.7307373243093,290.6030420364708,358.4487725626324
2021-03-18,232.69704393693564,449.07637842950936,428.3350247900762,298.3126372288551,369.3279637661955
2021-03-19,235.40122000357687,468.50981583591357,445.9412579697779,306.7720756652165,381.2134101276243
2021-03-20,237.51715697364995,485.6915687884215,461.06094200134885,313.7533748332784,390.7631378785039
2021-03-21,239.22154204832185,503.6404027606298,477.13947730754563,320.8251723238892,399.69876986923
2021-03-22,241.44521511666738,529.4582813506661,497.3335315677544,330.47401728517957,412.29096503532674
2021-03-23,243.53098597922417,554.7267058395121,518.6006373667575,341.3532084887426,426.2557180934159
2021-03-24,245.37973742558134,580.596297756719,540.1521664652003,351.5601264390849,438.41265942249146
2021-03-25,246.91820890891344,609.8100181643061,564.2699694244955,362.3121890466863,452.28691415803166
2021-03-26,248.22612514194233,639.8468423626957,588.4437951548923,373.9045932208137,466.4024977537024
2021-03-27,249.10309698188098,666.0439520186512,609.995324253335,383.25824127283727,477.9173319370736
2021-03-28,249.90249883106335,692.7603496682807,630.8422592690752,392.78211236013163,490.22079435979975
2021-03-29,250.9604673160999,730.4270443463329,663.6198898075187,407.38897256392517,506.02567997638437
2021-03-30,251.30306810860665,771.6813510968612,695.1564004938623,421.586435594283,521.2983492675024
2021-03-31,251.98396024968915,812.7826725878427,727.9771254716148,436.16528441252575,537.0342837811922
2021-04-01,252.57435406822282,858.3787440987553,763.1831276651217,452.81913048349804,552.2380019694159
2021-04-02,251.28583033288305,898.5470709786965,793.0906685455843,464.6894937911687,564.9034576823381
2021-04-03,252.88894347517868,943.255397039843,827.6394805396287,480.2530505476226,580.6286185862008
2021-04-04,254.32398830416918,991.0794510630319,864.0909120291662,495.8726300751782,597.3492610381019
2021-04-05,252.31147798843782,1038.315265989653,897.3813663953872,509.10908710894483,609.728138729619
