date,spring_no_effects,spring_without_rapid_tests_and_no_vaccinations,spring_without_rapid_tests,spring_baseline
2021-01-03,156.2,156.09,156.08,156.54
2021-01-10,153.12,152.95,153.5,154.77
2021-01-17,146.46,146.34,146.6,150.3
2021-01-24,125.99,125.56,125.97,130.03
2021-01-31,108.53,107.26,107.1,112.52
2021-02-07,95.02,92.34,92.76,97.66
2021-02-14,83.0,78.98,80.08,84.04
2021-02-21,74.51,68.59,69.46,72.77
2021-02-28,72.5,63.69,64.69,66.94
2021-03-07,75.22,62.69,63.54,66.49
2021-03-14,89.25,69.3,69.86,78.15
2021-03-21,111.43,79.62,79.45,94.23
2021-03-28,147.37,94.73,92.41,115.59
2021-04-04,189.02,108.93,102.95,130.38
2021-04-11,230.78,116.13,104.14,130.19
2021-04-18,389.03,172.88,146.73,162.38
2021-04-25,514.01,201.9,159.64,165.89
2021-05-02,652.85,227.34,167.0,143.76
2021-05-09,805.05,254.08,170.58,118.05
2021-05-16,961.7,279.08,171.2,88.58
2021-05-23,1075.62,295.88,162.02,61.35
2021-05-30,1141.35,308.66,147.19,40.73
2021-06-06,1145.28,312.25,135.25,31.11
