date,spring_no_effects,spring_without_rapid_tests_and_no_vaccinations,spring_without_rapid_tests,spring_baseline
2021-01-15,449.76373473648823,450.1932426482682,447.790009416135,446.99707173284895
2021-01-16,440.57743675711464,441.23103575330157,438.7243758668267,437.00059829446576
2021-01-17,433.05171117244873,433.2916035512691,430.6786440478319,428.48370060569243
2021-01-18,422.64296759800925,422.1330167328526,419.0632561727398,416.51637480957635
2021-01-19,411.89808739695934,411.48438077959287,408.5611413131306,405.2715991125418
2021-01-20,402.8927860626837,401.795314341614,398.5546125055754,395.4345750996019
2021-01-21,393.07156334415714,391.68679536102724,388.00222080010576,385.1163298477114
2021-01-22,383.2833796957676,382.1557418671815,377.59204074435587,374.60272313761993
2021-01-23,377.03899543989,375.58240339124507,370.59781324450137,367.28672382425793
2021-01-24,370.7041128614635,369.1958074856477,364.24138344642034,360.52951574060313
2021-01-25,361.8022381815295,359.5986758515281,354.5896655225093,351.2699572144042
2021-01-26,353.4993762079911,350.50718563863444,346.15321078711276,342.72432989942473
2021-01-27,345.5498886367864,343.025990974588,338.1548828513579,334.41715848195525
2021-01-28,338.0184171268793,334.98169563690345,330.4596524720766,326.26943648992915
2021-01-29,331.05579221585145,327.08535787418003,323.0861939063025,318.34867854493064
2021-01-30,326.59408126605706,321.6597679651739,317.9507732219773,313.7160263192105
2021-01-31,322.625083405696,317.2081123845517,313.0609908417134,309.0833740934906
2021-02-01,315.79892421914667,309.8217254869851,304.9520538450654,301.51455406951567
2021-02-02,309.3778527621021,302.853354650716,297.7682108122512,293.3553402270072
2021-02-03,302.6996511505138,295.818905674173,291.01818513514775,285.7462987263438
2021-02-04,296.56443947421906,288.4267728513651,283.98517263991505,278.58831235711494
2021-02-05,290.7222699852257,281.39663331875306,277.08144346260946,271.58259300677804
2021-02-06,286.2361388531563,276.4005513215269,272.71884972322596,266.32507141107715
2021-02-07,281.3219362906173,270.7738540290787,267.85205104392685,260.8247844739354
2021-02-08,274.5647282069624,263.37453879971935,261.5186049468107,253.37662888002578
2021-02-09,268.68090075997037,256.4190962952428,254.7010646481231,247.4094855170363
2021-02-10,263.6000663654365,249.98653298771598,248.17656653673694,241.03725442454197
2021-02-11,258.74045009268895,244.21906052685827,242.5570516508402,235.39331935637017
2021-02-12,254.24713655406802,238.60816452882338,236.724937531019,229.48363524579273
2021-02-13,250.92886472727318,234.79861609390568,232.00753290799125,225.57640608177456
2021-02-14,248.10330598991155,231.29791114070264,227.86472080908374,221.8458641189234
2021-02-15,244.61696584981155,226.01740584403694,222.9318439895108,216.49066179412202
2021-02-16,244.19464034458312,224.32954030443346,220.58032408454844,213.873392846754
2021-02-17,243.29971248826573,222.25382481104887,218.69853356805436,212.14530583046215
2021-02-18,242.6906444126982,220.18529172421572,216.57685067274014,209.47345059330272
2021-02-19,242.4435696273264,218.98295686749395,214.81285162369076,207.50116175425973
2021-02-20,243.54822375494774,218.33510379654825,214.623236090731,206.55164760815086
2021-02-21,245.04503728028118,218.62814598384966,215.18920972698953,206.62059871104535
2021-02-22,246.66395171699017,218.95422724128792,214.52986480556146,206.20258264974777
