date,spring_no_effects,spring_without_rapid_tests_and_no_vaccinations,spring_without_rapid_tests,spring_baseline
2021-01-15,0.007216201672258554,0.006972068793361367,0.007044427726324939,0.007232339615718971
2021-01-16,0.008787437646499823,0.008651287841263868,0.008601518326230488,0.008906486085297165
2021-01-17,0.010652897168425528,0.010338735666210595,0.010407700692210376,0.010837656803276707
2021-01-18,0.012387631200306042,0.011798966237372767,0.012111948551175204,0.012394654623657396
2021-01-19,0.014202129828858599,0.01355942091842327,0.013982030353637773,0.014292136373160657
2021-01-20,0.01623456516344807,0.01571043794770656,0.01597820725041902,0.01664414599906106
2021-01-21,0.01842104755975741,0.01790539888936217,0.018359908186839698,0.019143898073628818
2021-01-22,0.020920206285005388,0.020463428624199496,0.020675684171476964,0.021775179825614496
2021-01-23,0.024035836416839797,0.023423854897971552,0.024163168568045228,0.025214532856103037
2021-01-24,0.027319107999260135,0.026891244253767686,0.027366694779691236,0.02886640586857452
2021-01-25,0.030693128086779493,0.030249893756949697,0.030815606594113844,0.03254636345556053
2021-01-26,0.0341708115280072,0.03385623503348363,0.034587826835052855,0.03681469479707421
2021-01-27,0.03796992997566952,0.037960493664052936,0.03864347028769456,0.04134786765021444
2021-01-28,0.04274590771363147,0.04231751640986207,0.043280940003060944,0.04644543332671975
2021-01-29,0.047637101460113844,0.04732423558016092,0.048447014926007635,0.05173528520274343
2021-01-30,0.05336778873998,0.05277283174499444,0.054436005984064645,0.058402954725878135
2021-01-31,0.059910363516052494,0.05930335778055389,0.061316507912217946,0.06499837408205551
2021-02-01,0.06353531977972307,0.06356373997737538,0.06567926792477329,0.0698565431152788
2021-02-02,0.06825586280411103,0.06782327598147832,0.07012304648613,0.07468574121237528
2021-02-03,0.07298307006908406,0.07194267887230253,0.07551662909369873,0.0791789218086139
2021-02-04,0.07736325946353514,0.0770319946373523,0.08036259585607038,0.08435534865243091
2021-02-05,0.08210303569023111,0.08127793925668388,0.08505965572640055,0.08990180197050363
2021-02-06,0.08599188855052274,0.08567187238069264,0.08931971844665133,0.09361205632769251
2021-02-07,0.08961872976814318,0.0891488247091845,0.0929024431150831,0.09797742733112673
2021-02-08,0.09679589727797432,0.09573638508108949,0.09933010118942151,0.10466561325692315
2021-02-09,0.1029705684412765,0.1020534180840924,0.10620413637798626,0.11188890468651509
2021-02-10,0.10963275401411897,0.10872557779919013,0.11288018908760732,0.11956201140388174
2021-02-11,0.11685070813236192,0.1155354828249001,0.11982236720088485,0.12684311881917854
2021-02-12,0.1238142448218529,0.12291902490965546,0.12763284268773917,0.13352009812661336
2021-02-13,0.1313996332308495,0.13054135478231202,0.13531105619764663,0.14200783103135378
2021-02-14,0.1396122064379184,0.13871284939537645,0.1441799766937223,0.15029022731994865
2021-02-15,0.14854292941748015,0.14716131489549322,0.15350771179053052,0.16026372104809736
2021-02-16,0.15811439204459782,0.15612393435352603,0.16329938807514022,0.1694188021326777
2021-02-17,0.1681530794640987,0.16492798663134656,0.1728926499418783,0.17929003907118105
2021-02-18,0.17779174132617723,0.1749035460930257,0.18381797501296246,0.18974223900292342
2021-02-19,0.1892228487015792,0.18620745699929822,0.19399629166776078,0.20180462464240917
2021-02-20,0.20107166863013465,0.197336963749882,0.20509630094766618,0.21386987126181914
2021-02-21,0.21358284784598108,0.20868970466242345,0.21733796720186363,0.22676985399942368
2021-02-22,0.22547494585699032,0.2200333186477992,0.23035446015655012,0.2387823679010368
2021-02-23,0.23787458229332464,0.23301248285371962,0.24307578740325603,0.2518788148551019
2021-02-24,0.25073910557555185,0.24713450047198524,0.2567418083970481,0.26594998824910454
2021-02-25,0.26574531308665394,0.2605332128261944,0.27103392556051153,0.2805029795056136
2021-02-26,0.28011295245044704,0.2732046581833028,0.28568111534466667,0.2946322578024858
2021-02-27,0.29471171143068703,0.2882469380227748,0.3014686256182419,0.3099361523664161
2021-02-28,0.30989775630868255,0.30399099545559166,0.3165746356889384,0.3260689864641417
2021-03-01,0.3262941170355227,0.32032033851059977,0.3315811477299009,0.3435283141727037
2021-03-02,0.3427792992575298,0.3356495967734805,0.34782870498043084,0.3599632175223911
2021-03-03,0.3591826895373045,0.3513820474364601,0.3647525153846175,0.3761292717752056
2021-03-04,0.3760891554813194,0.3691146902356716,0.3802693323270943,0.39320203270544507
2021-03-05,0.392856818172932,0.3877195740044284,0.39774446238439265,0.4105336778678466
2021-03-06,0.4107480696639533,0.40479930362337574,0.41464396179353447,0.4275488032186133
2021-03-07,0.4288956341218135,0.42279520726734104,0.43224818755638966,0.44538975814829196
2021-03-08,0.4460586356919195,0.4403527652470682,0.4501927494530754,0.46260634951494295
2021-03-09,0.463569225273601,0.45925442644192055,0.4680026971463181,0.48002484020214153
2021-03-10,0.48188426028902,0.4782442851281335,0.48463083325325573,0.4983189753070488
2021-03-11,0.4996694808101496,0.4955001081283337,0.5039305392153964,0.5151276490709488
2021-03-12,0.5186143987674436,0.5130986748782506,0.522445636474773,0.5339427505283868
2021-03-13,0.5363077761179427,0.53132845723416,0.5407449439976413,0.5510732548459311
2021-03-14,0.5538740390135415,0.5496116285344664,0.558355954141719,0.5683435855638397
2021-03-15,0.5718156491371846,0.5681384876911153,0.5767150328167148,0.5854616642632583
2021-03-16,0.5902473735805674,0.5854626947787664,0.593676418721664,0.6031991687876896
2021-03-17,0.6078497773542584,0.6031575824726835,0.6111839830942594,0.6197657580208611
2021-03-18,0.6250125625947679,0.6202146277185935,0.6277366300734856,0.6376094031306284
2021-03-19,0.6414543059843332,0.6367578784888853,0.6438862909125891,0.6528198209029046
2021-03-20,0.6586468308893593,0.6529370483712164,0.6599346911935985,0.6693401302133605
2021-03-21,0.6745034322387846,0.6679730500145492,0.6761993310154736,0.6844343237156043
2021-03-22,0.690268676555789,0.6830934455982288,0.6905082650634912,0.6992737760994463
2021-03-23,0.705404082035803,0.6986809547154399,0.7054355359529496,0.7136140710635793
2021-03-24,0.7203839550870998,0.7124171705816356,0.7201974895256148,0.7280406123327559
2021-03-25,0.7348189983841515,0.7268494471580038,0.7337469960246996,0.7413939760413311
2021-03-26,0.7486009069081486,0.7401624183228698,0.7474698939263037,0.7556204646093777
2021-03-27,0.7614328731932997,0.7539553444629864,0.7604983523193163,0.768068180835106
2021-03-28,0.7740552853546722,0.7667213664011127,0.7724868056664643,0.7793258272573965
2021-03-29,0.7864356178617713,0.779048476491184,0.7847219687404385,0.79137337365383
2021-03-30,0.7980958214792532,0.7906166483343129,0.7962042109853619,0.8031937883814421
2021-03-31,0.8097815328134043,0.8016331032445349,0.8072934960118459,0.8138592201803708
2021-04-01,0.8203935893872931,0.8120032542201044,0.818255775563824,0.8242113419797423
2021-04-02,0.8302029098969071,0.8224842749913635,0.8281916250858703,0.8341628169135422
2021-04-03,0.839893619901988,0.831387616274394,0.8374385655380127,0.8440082863049755
2021-04-04,0.8492616628088149,0.8402761791619003,0.8462134961433375,0.8536458062702799
2021-04-05,0.8584248011397979,0.8490420391630012,0.8549391479857877,0.861625913670664
2021-04-06,0.8669084867678355,0.857275449554132,0.8634702785197284,0.8696223215059159
2021-04-07,0.8745249277408971,0.8656487615307208,0.8713227769592415,0.877680214791401
2021-04-08,0.8820822589574633,0.8736082425839756,0.8785289401957624,0.8849947686278933
2021-04-09,0.8896530551821533,0.8810555443188061,0.8852683249581134,0.8911081014475738
2021-04-10,0.8963246930315335,0.8877703321563895,0.8915686097934611,0.8977168523012232
2021-04-11,0.9024443659911133,0.8940664376456956,0.8976301755841495,0.9036112032630601
2021-04-12,0.9082852774388184,0.9000549228960898,0.9034846755115623,0.9092501331464216
2021-04-13,0.9139508738120932,0.9060897895436321,0.9090461565036986,0.914850401058718
