date,combined_baseline
2020-09-20,0.19
2020-09-27,0.23
2020-10-04,0.28
2020-10-11,0.41
2020-10-18,0.67
2020-10-25,1.14
2020-11-01,2.01
2020-11-08,3.0
2020-11-15,4.27
2020-11-22,5.26
2020-11-29,6.01
2020-12-06,6.74
2020-12-13,6.99
2020-12-20,7.48
2020-12-27,8.23
2021-01-03,8.99
2021-01-10,9.91
2021-01-17,9.81
2021-01-24,9.4
2021-01-31,8.51
2021-02-07,7.28
2021-02-14,6.14
2021-02-21,5.05
2021-02-28,4.19
2021-03-07,3.73
2021-03-14,3.25
2021-03-21,2.91
2021-03-28,2.88
2021-04-04,3.0
2021-04-11,3.0
2021-04-18,3.13
2021-04-25,3.07
2021-05-02,2.83
2021-05-09,2.57
2021-05-16,2.05
2021-05-23,1.5
2021-05-30,1.08
2021-06-06,0.87
