date,spring_baseline,spring_no_effects,spring_without_seasonality,spring_without_vaccines,spring_without_rapid_tests
2021-01-15,446.99707173284895,449.76373473648823,448.00691809399046,446.0145185166032,447.790009416135
2021-01-16,437.00059829446576,440.57743675711464,439.0087991662662,437.254855486389,438.7243758668267
2021-01-17,428.48370060569243,433.05171117244873,431.1411910297487,429.57255343890034,430.6786440478319
2021-01-18,416.51637480957635,422.64296759800925,420.0113338375383,417.7244555915394,419.0632561727398
2021-01-19,405.2715991125418,411.89808739695934,409.785023389507,406.9652105773865,408.5611413131306
2021-01-20,395.4345750996019,402.8927860626837,399.775621619331,396.7762486434229,398.5546125055754
2021-01-21,385.1163298477114,393.07156334415714,390.7056786260918,386.01269418533917,388.00222080010576
2021-01-22,374.60272313761993,383.2833796957676,381.18324402010785,376.0866083311607,377.59204074435587
2021-01-23,367.28672382425793,377.03899543989,374.61277850679204,368.79359271876353,370.59781324450137
2021-01-24,360.52951574060313,370.7041128614635,368.1902705684372,361.5652187653299,364.24138344642034
2021-01-25,351.2699572144042,361.8022381815295,359.0370116592006,351.84454973852445,354.5896655225093
2021-01-26,342.72432989942473,353.4993762079911,350.5359152648405,343.14090947941196,346.15321078711276
2021-01-27,334.41715848195525,345.5498886367864,343.0044437549334,334.5780443887091,338.1548828513579
2021-01-28,326.26943648992915,338.0184171268793,335.3207052261344,325.71639118546335,330.4596524720766
2021-01-29,318.34867854493064,331.05579221585145,327.42293098210064,317.7238091749498,323.0861939063025
2021-01-30,313.7160263192105,326.59408126605706,322.19988493784706,311.8399817279577,317.9507732219773
2021-01-31,309.0833740934906,322.625083405696,317.6993889926746,307.0636813712077,313.0609908417134
2021-02-01,301.51455406951567,315.79892421914667,310.99389423619056,298.5194905375385,304.9520538450654
2021-02-02,293.3553402270072,309.3778527621021,303.884748231512,290.40337113433907,297.7682108122512
2021-02-03,285.7462987263438,302.6996511505138,296.74399963800676,283.18361606876726,291.01818513514775
2021-02-04,278.58831235711494,296.56443947421906,290.13474912931275,276.2109357885672,283.98517263991505
2021-02-05,271.58259300677804,290.7222699852257,283.86307172853947,268.95095924630704,277.08144346260946
2021-02-06,266.32507141107715,286.2361388531563,279.3151719001272,264.0022811323207,272.71884972322596
2021-02-07,260.8247844739354,281.3219362906173,274.4440637768972,258.4258606857331,267.85205104392685
2021-02-08,253.37662888002578,274.5647282069624,267.26022074408297,251.29516746139998,261.5186049468107
