date,spring_no_effects
2021-01-15,144.8037802442162
2021-01-16,141.61479173534843
2021-01-17,138.1370704831102
2021-01-18,134.91791586672613
2021-01-19,131.88837678330177
2021-01-20,129.89310424329398
2021-01-21,126.66102129511717
2021-01-22,123.93098856489055
2021-01-23,120.87559281788074
2021-01-24,117.78572151942376
2021-01-25,115.21729293660592
2021-01-26,113.48920592031409
2021-01-27,110.8798376201527
2021-01-28,108.33511097895482
2021-01-29,105.9088940458568
2021-01-30,103.95887066712348
2021-01-31,101.53480845599088
2021-02-01,99.86489893276622
2021-02-02,98.1260383066471
2021-02-03,96.67591042389847
2021-02-04,95.24086559490796
2021-02-05,92.71768617336464
2021-02-06,90.85816111718025
2021-02-07,89.21410825754101
2021-02-08,87.38905875280383
2021-02-09,86.02942919260416
2021-02-10,84.41985188441211
2021-02-11,82.27805825075362
2021-02-12,80.77621704083414
2021-02-13,79.12354529333308
2021-02-14,77.40623188686848
2021-02-15,76.18665925442312
2021-02-16,75.29891380465725
2021-02-17,74.15044699707177
2021-02-18,73.47601902188555
2021-02-19,73.14850128313694
2021-02-20,72.93087436462638
2021-02-21,72.85761381780105
2021-02-22,72.80159104669931
2021-02-23,73.0881690681043
2021-02-24,73.38336597737113
2021-02-25,73.72381204791239
2021-02-26,73.7949178727723
2021-02-27,74.11597144562454
2021-02-28,74.51459500923302
2021-03-01,74.82056552832708
2021-03-02,75.36786490755166
2021-03-03,76.37842950934828
2021-03-04,77.70573824006621
2021-03-05,79.60620301359415
2021-03-06,81.39031280098774
2021-03-07,83.53210643464621
2021-03-08,85.94539503595156
2021-03-09,88.43840834997857
2021-03-10,91.1037994212417
2021-03-11,93.84891520522652
2021-03-12,96.2729774163591
2021-03-13,99.31329010961073
2021-03-14,102.99570994856681
2021-03-15,106.33983843894706
2021-03-16,109.51805333798754
2021-03-17,113.04102375150023
2021-03-18,117.80295929514739
2021-03-19,123.20915670646441
2021-03-20,128.2102663882766
2021-03-21,133.31911216836136
2021-03-22,139.12608786525232
2021-03-23,144.44394167598585
2021-03-24,150.72926564920698
2021-03-25,157.6265306606162
2021-03-26,164.47639178878558
2021-03-27,172.668644701431
2021-03-28,180.99233565396895
2021-03-29,189.32895493829957
2021-03-30,196.43091853642667
2021-03-31,202.817514442024
2021-04-01,207.73458996718364
2021-04-02,210.807223489917
2021-04-03,212.25304192873477
2021-04-04,213.1257043247425
2021-04-05,213.3325576334258
2021-04-06,215.92899760179452
2021-04-07,221.6174635905856
2021-04-08,236.98063120425263
2021-04-09,261.41302357050364
2021-04-10,289.4222543994036
2021-04-11,320.9135159244727
2021-04-12,352.8766615599756
2021-04-13,381.4267276022039
2021-04-14,409.9444728149503
2021-04-15,435.1396367569711
2021-04-16,456.33779145308
2021-04-17,476.43057378091214
2021-04-18,496.1786005942724
2021-04-19,514.6833528335671
2021-04-20,531.2682478016451
2021-04-21,551.0572143323486
2021-04-22,573.3241111233212
2021-04-23,595.562996528743
2021-04-24,618.6702348862415
2021-04-25,643.0336761495981
2021-04-26,665.5957698498376
2021-04-27,686.7723773262917
2021-04-28,709.5154676716289
2021-04-29,735.0963268454655
2021-04-30,760.6448651898202
2021-05-01,785.6999722040866
2021-05-02,811.1967972212706
2021-05-03,836.0041112095101
2021-05-04,859.3009650999684
2021-05-05,883.3261150147491
2021-05-06,910.7686539667354
2021-05-07,937.1058205504454
2021-05-08,965.2292516435143
2021-05-09,993.5293699377502
2021-05-10,1019.045587452623
2021-05-11,1042.1054219268817
2021-05-12,1065.0596750248333
2021-05-13,1089.0503493881668
2021-05-14,1112.5777585289281
2021-05-15,1131.5134551613132
2021-05-16,1146.7430300131223
2021-05-17,1162.7052103331848
2021-05-18,1176.736759772203
2021-05-19,1190.7122864401194
2021-05-20,1203.6384635108611
2021-05-21,1214.9981577127196
2021-05-22,1228.0169878279753
2021-05-23,1239.7580678177192
2021-05-24,1248.2907668009059
2021-05-25,1256.105943369597
2021-05-26,1255.6362139811285
2021-05-27,1251.1069884097508
2021-05-28,1250.6006287478695
2021-05-29,1247.5947916060652
2021-05-30,1243.500819871708
2021-05-31,1238.532031019377
