date,spring_no_effects
2021-01-15,463.1359392540783
2021-01-16,453.4138337459626
2021-01-17,445.1239001042167
2021-01-18,433.39215724299027
2021-01-19,421.9232904615486
2021-01-20,412.3046116077746
2021-01-21,402.02084190733126
2021-01-22,391.92956070246805
2021-01-23,384.92240487082086
2021-01-24,379.0960366762409
2021-01-25,369.91548462210847
2021-01-26,361.3310723117509
2021-01-27,353.11870866076134
2021-01-28,345.3473447720341
2021-01-29,337.5300134813771
2021-01-30,332.0871857966475
2021-01-31,326.91298011694397
2021-02-01,319.701843939234
2021-02-02,312.7306001403442
2021-02-03,305.74211856573095
2021-02-04,298.83551642580466
2021-02-05,293.068043964947
2021-02-06,288.8620266883862
2021-02-07,283.650472494615
2021-02-08,277.0383490233005
2021-02-09,271.55099041795137
2021-02-10,266.0679412565333
2021-02-11,260.4800289594632
2021-02-12,255.39919456492925
2021-02-13,252.15131032233919
2021-02-14,249.4880739730415
2021-02-15,244.79939897621978
2021-02-16,243.26092749288767
2021-02-17,242.91042605317426
2021-02-18,242.1203613325088
2021-02-19,241.25847254632828
2021-02-20,241.57306195328422
2021-02-21,242.8802599456579
2021-02-22,244.81520027063306
2021-02-23,244.27939274189086
2021-02-24,244.02944499389852
2021-02-25,244.91575396235413
2021-02-26,246.10228752466256
2021-02-27,247.78153417640416
2021-02-28,249.29127603353035
2021-03-01,253.43839757636877
2021-03-02,259.28918595322386
2021-03-03,264.51366847878785
2021-03-04,271.56822819367505
2021-03-05,279.30655301226545
2021-03-06,286.725978979969
2021-03-07,295.38077887453125
2021-03-08,303.40209051125095
2021-03-09,312.1129131769149
2021-03-10,322.0117058861976
2021-03-11,332.21215967064353
2021-03-12,343.84047587752843
2021-03-13,353.4591547313025
2021-03-14,363.623696482991
2021-03-15,379.292834615752
2021-03-16,394.44771243942535
2021-03-17,410.8336547460265
2021-03-18,429.02956350360665
2021-03-19,446.42247920872865
2021-03-20,462.0183567946643
2021-03-21,478.48617853595255
2021-03-22,501.1093226918796
2021-03-23,525.5467427427168
2021-03-24,549.0935443811674
2021-03-25,575.7532010190397
2021-03-26,604.1696742994101
2021-03-27,629.4158333279465
2021-03-28,654.4594484917303
2021-03-29,690.6803247309649
2021-03-30,727.8291678966539
2021-03-31,766.6788049337387
2021-04-01,808.935775638857
2021-04-02,845.320410747466
2021-04-03,886.2041053199365
2021-04-04,930.7738109346393
2021-04-05,974.4299144359906
2021-04-06,1030.3392035142078
2021-04-07,1085.1481479087345
2021-04-08,1146.0003691756965
2021-04-09,1216.000103426654
2021-04-10,1272.3187896783068
2021-04-11,1313.9307802751005
2021-04-12,1382.486850809206
2021-04-13,1440.9990440216882
2021-04-14,1498.3491238541367
2021-04-15,1559.06487939662
2021-04-16,1618.3929939933535
2021-04-17,1660.7318441331588
2021-04-18,1718.1638034002947
2021-04-19,1791.1097608186792
2021-04-20,1862.9395722589602
2021-04-21,1934.6688300075195
2021-04-22,2008.7438617358007
2021-04-23,2083.4236520957184
2021-04-24,2147.2134776422454
2021-04-25,2209.7320172291566
2021-04-26,2290.8817194106687
2021-04-27,2372.315844891621
2021-04-28,2449.599975867114
2021-04-29,2530.252655515262
2021-04-30,2609.688635493586
2021-05-01,2677.945917915148
2021-05-02,2746.3396660611893
2021-05-03,2837.4370013165358
2021-05-04,2924.4245635431103
2021-05-05,3011.8832916394626
2021-05-06,3102.6746563757133
2021-05-07,3191.687657249813
2021-05-08,3262.9759152361107
2021-05-09,3333.4697990578125
2021-05-10,3411.2624444171515
2021-05-11,3494.8283081625896
2021-05-12,3566.1898266957123
2021-05-13,3607.2789380955564
2021-05-14,3660.2994632587584
2021-05-15,3714.328398301791
2021-05-16,3765.1582894667854
2021-05-17,3814.2471652836953
2021-05-18,3853.6225544803488
2021-05-19,3891.30433221216
2021-05-20,3951.543175959623
2021-05-21,3989.1358918501946
2021-05-22,4014.0545331399826
2021-05-23,4029.149078748624
2021-05-24,4000.7656445383905
2021-05-25,4017.1602057328537
2021-05-26,4016.456329890806
2021-05-27,4010.224873966721
2021-05-28,3993.5545083606803
2021-05-29,3989.9144647203784
2021-05-30,3985.6610435605776
2021-05-31,3989.915901201689
