date,spring_baseline,spring_strict_home_office_continue_testing,spring_strict_home_office_reduce_testing,spring_normal_home_office_reduce_testing
2021-01-01,599.2195597041135,599.2195597041135,599.2195597041135,599.2195597041135
2021-01-02,529.2718979006543,529.2718979006543,529.2718979006543,529.2718979006543
2021-01-03,498.952446004463,498.952446004463,498.952446004463,498.952446004463
2021-01-04,525.3427623966542,525.3427623966542,525.3427623966542,525.3427623966542
2021-01-05,535.1316642856989,535.1316642856989,535.1316642856989,535.1316642856989
2021-01-06,534.9205015330847,534.9205015330847,534.9205015330847,534.9205015330847
2021-01-07,535.9461491886393,535.9461491886393,535.9461491886393,535.9461491886393
2021-01-08,524.931210501253,524.931210501253,524.931210501253,524.931210501253
2021-01-09,513.5973729629798,513.5973729629798,513.5973729629798,513.5973729629798
2021-01-10,501.91447046630327,501.91447046630327,501.91447046630327,501.91447046630327
2021-01-11,488.36557874754635,488.36557874754635,488.36557874754635,488.36557874754635
2021-01-12,474.9718270103017,474.9718270103017,474.9718270103017,474.9718270103017
2021-01-13,464.13357552408223,464.13357552408223,464.13357552408223,464.13357552408223
2021-01-14,451.5909389631908,451.5909389631908,451.5909389631908,451.5909389631908
2021-01-15,440.746223311075,440.746223311075,440.746223311075,440.746223311075
2021-01-16,431.1986502821609,431.1986502821609,431.1986502821609,431.1986502821609
2021-01-17,423.0688843065135,423.0688843065135,423.0688843065135,423.0688843065135
2021-01-18,411.8621753642019,411.8621753642019,411.8621753642019,411.8621753642019
2021-01-19,400.7718214080246,400.7718214080246,400.7718214080246,400.7718214080246
2021-01-20,390.6446281704041,390.6446281704041,390.6446281704041,390.6446281704041
2021-01-21,381.5969506374745,381.5969506374745,381.5969506374745,381.5969506374745
2021-01-22,371.41157990678676,371.41157990678676,371.41157990678676,371.41157990678676
2021-01-23,363.9217663548785,363.9217663548785,363.9217663548785,363.9217663548785
2021-01-24,356.89090858161114,356.89090858161114,356.89090858161114,356.89090858161114
2021-01-25,347.83461216081986,347.83461216081986,347.83461216081986,347.83461216081986
2021-01-26,339.9547939331649,339.9547939331649,339.9547939331649,339.9547939331649
2021-01-27,331.39623828639276,331.39623828639276,331.39623828639276,331.39623828639276
2021-01-28,322.361489085256,322.361489085256,322.361489085256,322.361489085256
2021-01-29,314.8436641477968,314.8436641477968,314.8436641477968,314.8436641477968
2021-01-30,310.7863226868522,310.7863226868522,310.7863226868522,310.7863226868522
2021-01-31,305.9166510449324,305.9166510449324,305.9166510449324,305.9166510449324
2021-02-01,297.9851194901066,297.9851194901066,297.9851194901066,297.9851194901066
2021-02-02,290.3854151179603,290.3854151179603,290.3854151179603,290.3854151179603
2021-02-03,283.18648903138785,283.18648903138785,283.18648903138785,283.18648903138785
2021-02-04,276.5176245483165,276.5176245483165,276.5176245483165,276.5176245483165
2021-02-05,269.8659978409686,269.8659978409686,269.8659978409686,269.8659978409686
2021-02-06,264.07841464176676,264.07841464176676,264.07841464176676,264.07841464176676
2021-02-07,259.1096257894363,259.1096257894363,259.1096257894363,259.1096257894363
2021-02-08,252.05291135258366,252.05291135258366,252.05291135258366,252.05291135258366
2021-02-09,245.6684701689518,245.6684701689518,245.6684701689518,245.6684701689518
2021-02-10,239.52535784545043,239.52535784545043,239.52535784545043,239.52535784545043
2021-02-11,232.990086124237,232.990086124237,232.990086124237,232.990086124237
2021-02-12,226.6724413215341,226.6724413215341,226.6724413215341,226.6724413215341
2021-02-13,222.16691769177564,222.16691769177564,222.16691769177564,222.16691769177564
2021-02-14,218.39399953027063,218.39399953027063,218.39399953027063,218.39399953027063
2021-02-15,213.14509682243155,213.14509682243155,213.14509682243155,213.14509682243155
2021-02-16,210.3051732719669,210.3051732719669,210.3051732719669,210.3051732719669
2021-02-17,208.32929322964816,208.32929322964816,208.32929322964816,208.32929322964816
2021-02-18,206.07976349771712,206.07976349771712,206.07976349771712,206.07976349771712
2021-02-19,203.83023376578603,203.83023376578603,203.83023376578603,203.83023376578603
2021-02-20,203.61691629120637,203.61691629120637,203.61691629120637,203.61691629120637
2021-02-21,203.60829740334458,203.60829740334458,203.60829740334458,203.60829740334458
2021-02-22,202.39303421483015,202.39303421483015,202.39303421483015,202.39303421483015
2021-02-23,199.93880589618124,199.93880589618124,199.93880589618124,199.93880589618124
2021-02-24,197.73452532552466,197.73452532552466,197.73452532552466,197.73452532552466
2021-02-25,196.900647924895,196.900647924895,196.900647924895,196.900647924895
2021-02-26,195.83190583003125,195.83190583003125,195.83190583003125,195.83190583003125
2021-02-27,195.05405120050338,195.05405120050338,195.05405120050338,195.05405120050338
2021-02-28,194.40978933283347,194.40978933283347,194.40978933283347,194.40978933283347
2021-03-01,195.5410183646953,195.5410183646953,195.5410183646953,195.5410183646953
2021-03-02,196.943742364204,196.943742364204,196.943742364204,196.943742364204
2021-03-03,198.227956655613,198.227956655613,198.227956655613,198.227956655613
2021-03-04,199.35918568747485,199.35918568747485,199.35918568747485,199.35918568747485
2021-03-05,201.85435372346728,201.85435372346728,201.85435372346728,201.85435372346728
2021-03-06,204.85803614330626,204.85803614330626,204.85803614330626,204.85803614330626
2021-03-07,207.94790744176325,207.94790744176325,207.94790744176325,207.94790744176325
2021-03-08,209.50577142278448,209.50577142278448,209.50577142278448,209.50577142278448
2021-03-09,211.1196581749074,211.1196581749074,211.1196581749074,211.1196581749074
2021-03-10,213.34333124325303,213.34333124325303,213.34333124325303,213.34333124325303
2021-03-11,216.03026953417066,216.03026953417066,216.03026953417066,216.03026953417066
2021-03-12,217.8251529313915,217.8251529313915,217.8251529313915,217.8251529313915
2021-03-13,219.79241408584843,219.79241408584843,219.79241408584843,219.79241408584843
2021-03-14,222.28327267790996,222.28327267790996,222.28327267790996,222.28327267790996
2021-03-15,224.90556930986412,224.90556930986412,224.90556930986412,224.90556930986412
2021-03-16,227.75195702622517,227.75195702622517,227.75195702622517,227.75195702622517
2021-03-17,230.3462422726284,230.3462422726284,230.3462422726284,230.3462422726284
2021-03-18,232.69704393693564,232.69704393693564,232.69704393693564,232.69704393693564
2021-03-19,235.40122000357687,235.40122000357687,235.40122000357687,235.40122000357687
2021-03-20,237.51715697364995,237.51715697364995,237.51715697364995,237.51715697364995
2021-03-21,239.22154204832185,239.22154204832185,239.22154204832185,239.22154204832185
2021-03-22,241.44521511666738,241.44521511666738,241.44521511666738,241.44521511666738
2021-03-23,243.53098597922417,243.53098597922417,243.53098597922417,243.53098597922417
2021-03-24,245.37973742558134,245.37973742558134,245.37973742558134,245.37973742558134
2021-03-25,246.91820890891344,246.91820890891344,246.91820890891344,246.91820890891344
2021-03-26,248.22612514194233,248.22612514194233,248.22612514194233,248.22612514194233
2021-03-27,249.10309698188098,249.10309698188098,249.10309698188098,249.10309698188098
2021-03-28,249.90249883106335,249.90249883106335,249.90249883106335,249.90249883106335
2021-03-29,250.9604673160999,250.9604673160999,250.9604673160999,250.9604673160999
2021-03-30,251.30306810860665,251.30306810860665,251.30306810860665,251.30306810860665
2021-03-31,251.98396024968915,251.98396024968915,251.98396024968915,251.98396024968915
2021-04-01,252.57435406822282,252.57435406822282,252.57435406822282,252.57435406822282
2021-04-02,251.28583033288305,251.28583033288305,251.28583033288305,251.28583033288305
2021-04-03,252.88894347517868,252.88894347517868,252.88894347517868,252.88894347517868
2021-04-04,254.32398830416918,254.32398830416918,254.32398830416918,254.32398830416918
2021-04-05,252.31147798843782,252.31147798843782,252.31147798843782,252.31147798843782
2021-04-06,253.02469095900216,252.19512300230343,252.86308681159326,253.35005397578524
2021-04-07,251.69307278435332,251.12638090743962,252.19943244623428,253.08502317403472
