,work_multiplier_seasonal,other_multiplier_seasonal,school_multiplier_seasonal,stringency,doubled_stringency,work_multiplier,other_multiplier,school_multiplier,school_multiplier_without_vacations,our_mean_stringency,our_mean_stringency_seasonal
2020-09-15,1.0,1.0,1.0,0.505,1.009,1.0,1.0,1.0,1.0,0.863,1.0
2020-09-16,1.002,1.005,1.002,0.505,1.009,1.0,1.0,1.0,1.0,0.863,1.003
2020-09-17,0.992,1.01,1.004,0.505,1.009,0.988,1.0,1.0,1.0,0.86,1.003
2020-09-18,0.982,1.014,1.006,0.505,1.009,0.976,1.0,1.0,1.0,0.857,1.002
2020-09-19,0.984,1.019,1.008,0.505,1.009,0.976,1.0,1.0,1.0,0.857,1.005
2020-09-20,0.986,1.024,1.01,0.505,1.009,0.976,1.0,1.0,1.0,0.857,1.009
2020-09-21,0.988,1.029,1.012,0.505,1.009,0.976,1.0,1.0,1.0,0.857,1.012
2020-09-22,1.014,1.034,1.014,0.505,1.009,1.0,1.0,1.0,1.0,0.863,1.023
2020-09-23,1.028,1.039,1.016,0.505,1.009,1.012,1.0,1.0,1.0,0.867,1.03
2020-09-24,1.031,1.043,1.018,0.505,1.009,1.012,1.0,1.0,1.0,0.867,1.034
2020-09-25,1.008,1.048,1.02,0.505,1.009,0.988,1.0,1.0,1.0,0.86,1.029
2020-09-26,1.01,1.053,1.023,0.505,1.009,0.988,1.0,1.0,1.0,0.86,1.033
2020-09-27,1.037,1.058,1.025,0.505,1.009,1.012,1.0,1.0,1.0,0.867,1.044
2020-09-28,1.039,1.063,1.027,0.505,1.009,1.012,1.0,1.0,1.0,0.867,1.047
2020-09-29,1.041,1.068,1.029,0.505,1.009,1.012,1.0,1.0,1.0,0.867,1.051
2020-09-30,1.068,1.073,1.031,0.505,1.009,1.036,1.0,1.0,1.0,0.873,1.062
2020-10-01,1.082,1.437,1.033,0.505,1.009,1.048,1.333,1.0,1.0,0.96,1.171
2020-10-02,1.06,1.443,1.035,0.505,1.009,1.024,1.333,1.0,1.0,0.953,1.167
2020-10-03,1.062,1.45,1.037,0.505,1.009,1.024,1.333,1.0,1.0,0.953,1.171
2020-10-04,1.027,1.456,1.039,0.505,1.009,0.988,1.333,1.0,1.0,0.943,1.162
2020-10-05,1.029,1.463,1.041,0.505,1.009,0.988,1.333,1.0,1.0,0.943,1.166
2020-10-06,1.031,1.47,0.952,0.505,1.009,0.988,1.333,0.912,1.0,0.914,1.133
2020-10-07,1.045,1.476,0.862,0.505,1.009,1.0,1.333,0.825,1.0,0.888,1.105
2020-10-08,1.035,1.482,0.773,0.505,1.009,0.988,1.333,0.738,1.0,0.856,1.068
2020-10-09,1.037,1.489,0.682,0.505,1.009,0.988,1.333,0.65,1.0,0.827,1.034
2020-10-10,1.039,1.495,0.592,0.505,1.009,0.988,1.333,0.562,1.0,0.798,1.001
2020-10-11,0.953,1.502,0.5,0.505,1.009,0.905,1.333,0.475,1.0,0.745,0.938
2020-10-12,0.955,1.508,0.409,0.505,1.009,0.905,1.333,0.388,1.0,0.716,0.904
2020-10-13,0.97,1.515,0.317,0.505,1.009,0.917,1.333,0.3,1.0,0.69,0.874
2020-10-14,0.971,1.521,0.318,0.505,1.009,0.917,1.333,0.3,1.0,0.69,0.877
2020-10-15,0.961,1.527,0.319,0.412,0.824,0.905,1.333,0.3,1.0,0.687,0.875
2020-10-16,0.95,1.534,0.319,0.412,0.824,0.893,1.333,0.3,1.0,0.683,0.873
2020-10-17,0.952,1.54,0.32,0.412,0.824,0.893,1.333,0.3,1.0,0.683,0.876
