date,combined_baseline,empirical
2020-09-29,1.2236532377905471,1.15
2020-09-30,1.24509130815034,1.19
2020-10-01,1.2677353356381247,1.23
2020-10-02,1.2823850799917673,1.28
2020-10-03,1.2938424302188458,1.31
2020-10-04,1.3039638397004283,1.36
2020-10-05,1.32600679791068,1.38
2020-10-06,1.348072278167489,1.39
2020-10-07,1.3644608664046025,1.38
2020-10-08,1.3959241317751863,1.35
2020-10-09,1.4183386148872361,1.32
2020-10-10,1.4258921625828855,1.29
2020-10-11,1.4298990235888396,1.3
2020-10-12,1.4349220907366147,1.31
2020-10-13,1.4408012078929435,1.34
2020-10-14,1.4383495135383286,1.37
2020-10-15,1.4402210299579556,1.38
2020-10-16,1.4348113899218693,1.37
2020-10-17,1.425972526473554,1.38
2020-10-18,1.4233207316274425,1.4
2020-10-19,1.4155354478245294,1.42
2020-10-20,1.4152165371213792,1.44
2020-10-21,1.410432002010217,1.43
2020-10-22,1.4088932950540898,1.39
2020-10-23,1.4016344774667233,1.34
2020-10-24,1.3897968002008985,1.29
2020-10-25,1.3726860907627385,1.26
2020-10-26,1.3570021928727627,1.21
2020-10-27,1.340129268338337,1.17
2020-10-28,1.3259710464957684,1.13
2020-10-29,1.3201735782174449,1.09
2020-10-30,1.3145364571204288,1.06
2020-10-31,1.3082182438227032,1.04
2020-11-01,1.300606095925466,1.04
2020-11-02,1.2920854516721159,1.03
2020-11-03,1.2764584421161127,1.03
2020-11-04,1.2596359419824559,1.02
2020-11-05,1.241208418241095,0.99
2020-11-06,1.214000777316763,0.98
2020-11-07,1.1851588649201708,0.97
2020-11-08,1.1541965435587118,0.96
2020-11-09,1.1248324856408631,0.96
2020-11-10,1.1007782559602197,0.97
2020-11-11,1.081978088737292,0.99
2020-11-12,1.0713590568138776,1.02
2020-11-13,1.0570075859328254,1.04
2020-11-14,1.04655923536628,1.05
2020-11-15,1.0363228656148598,1.05
2020-11-16,1.0291676569342072,1.04
2020-11-17,1.0256818865503747,1.04
2020-11-18,1.0233795266242778,1.02
2020-11-19,1.0278491032245267,1.0
2020-11-20,1.0266790968411803,0.98
2020-11-21,1.0285401271906671,0.95
2020-11-22,1.0285838817558473,0.94
2020-11-23,1.0307929329112657,0.94
2020-11-24,1.03516019159203,0.94
2020-11-25,1.0397277347203306,0.94
2020-11-26,1.0448538631275632,0.96
2020-11-27,1.0425823261726208,0.98
2020-11-28,1.0457116376404465,1.0
2020-11-29,1.0447346748098778,1.03
2020-11-30,1.0456481723522553,1.07
2020-12-01,1.0471466416186972,1.09
2020-12-02,1.048710600002894,1.12
2020-12-03,1.0538747612393098,1.14
2020-12-04,1.0564392461080554,1.15
2020-12-05,1.0596949214622935,1.16
2020-12-06,1.0577435147880068,1.16
2020-12-07,1.0613212458453865,1.15
2020-12-08,1.065527534450202,1.15
2020-12-09,1.0701649420770598,1.13
2020-12-10,1.0789861798521434,1.11
2020-12-11,1.0802144404141236,1.09
2020-12-12,1.080506430994951,1.07
2020-12-13,1.0778061683476907,1.05
2020-12-14,1.0784204166694673,1.04
2020-12-15,1.0785357105928612,1.03
2020-12-16,1.078540649472085,1.01
2020-12-17,1.078320856816542,0.99
2020-12-18,1.0734608741608036,0.97
2020-12-19,1.0682189552113324,0.96
2020-12-20,1.0623766528361043,0.94
2020-12-21,1.0582406210271076,0.91
2020-12-22,1.0534634212580793,0.88
2020-12-23,1.0494426429588173,0.85
2020-12-24,1.0488957266528258,0.83
2020-12-25,1.0470173276257593,0.83
2020-12-26,1.0473388852198968,0.86
2020-12-27,1.04405290084875,0.89
2020-12-28,1.0399683359058824,0.93
2020-12-29,1.0321705399914236,0.95
2020-12-30,1.0210755665018998,0.95
2020-12-31,1.0072231131063238,0.95
2021-01-01,0.9883538894161837,0.97
2021-01-02,0.9668533320242162,0.98
2021-01-03,0.941907956478359,0.99
2021-01-04,0.9211468250733078,0.99
2021-01-05,0.9036591909496356,1.0
2021-01-06,0.8899149344616937,1.01
2021-01-07,0.8813105692956197,1.02
2021-01-08,0.8738274260907883,1.0
2021-01-09,0.8661140581568184,0.96
2021-01-10,0.8605405293979564,0.91
2021-01-11,0.8556306362428924,0.88
2021-01-12,0.8539785939692112,0.88
2021-01-13,0.8530197901694295,0.88
2021-01-14,0.8536180430618098,0.9
2021-01-15,0.8502913075329949,0.92
2021-01-16,0.8473193567368659,0.93
2021-01-17,0.8457760827487998,0.94
2021-01-18,0.8454678939761702,0.94
2021-01-19,0.8456207948651812,0.94
2021-01-20,0.8446020550130534,0.94
2021-01-21,0.8450741542740262,0.93
2021-01-22,0.8434487715605123,0.93
2021-01-23,0.8417630059491387,0.92
2021-01-24,0.8381027400112728,0.91
2021-01-25,0.8383754501209756,0.9
2021-01-26,0.838821563425998,0.88
2021-01-27,0.8423833890817386,0.88
2021-01-28,0.8447143183880303,0.89
2021-01-29,0.8423047708330492,0.89
2021-01-30,0.8426699689086031,0.9
2021-01-31,0.8424240674382484,0.89
2021-02-01,0.8433883290577777,0.89
2021-02-02,0.844024709953103,0.9
2021-02-03,0.8452269435245027,0.89
2021-02-04,0.845003730006536,0.89
2021-02-05,0.8468302074581896,0.89
2021-02-06,0.8479638604048952,0.89
2021-02-07,0.8464681934424841,0.88
2021-02-08,0.8496596741894444,0.88
2021-02-09,0.8523476759402637,0.88
2021-02-10,0.8540934702037737,0.89
2021-02-11,0.8584194652573948,0.91
2021-02-12,0.8641221460880167,0.94
2021-02-13,0.8703009853976165,0.97
2021-02-14,0.8778495003812574,0.99
2021-02-15,0.8889905495321603,1.01
2021-02-16,0.8983745463066906,1.03
2021-02-17,0.9133982572283356,1.05
2021-02-18,0.9302885964331726,1.06
2021-02-19,0.9408984327861746,1.07
2021-02-20,0.9514944785699512,1.06
2021-02-21,0.9586848968952894,1.05
2021-02-22,0.9669737901689164,1.04
2021-02-23,0.9756143870469205,1.02
2021-02-24,0.9835469842023024,1.01
2021-02-25,0.9919748757803254,1.01
2021-02-26,0.9971313098265987,1.0
2021-02-27,1.0047446206973731,1.0
2021-02-28,1.0062290082400789,1.02
2021-03-01,1.0085115903093926,1.02
2021-03-02,1.0122440706747768,1.04
2021-03-03,1.0165503465831407,1.05
2021-03-04,1.0231032955521604,1.06
2021-03-05,1.0286337622030401,1.08
2021-03-06,1.031376516681099,1.1
2021-03-07,1.032744615941733,1.12
2021-03-08,1.0371900077695773,1.14
2021-03-09,1.041553636769394,1.15
2021-03-10,1.044832225869887,1.17
2021-03-11,1.0486135842623985,1.17
2021-03-12,1.0515676670189462,1.17
2021-03-13,1.0497283170401817,1.17
2021-03-14,1.0488453820546129,1.17
2021-03-15,1.0468593953152243,1.17
2021-03-16,1.0472733791273152,1.17
2021-03-17,1.0473708912738335,1.16
2021-03-18,1.0544448215537428,1.14
2021-03-19,1.0572885254383315,1.13
2021-03-20,1.0556153984790435,1.13
2021-03-21,1.053373341335345,1.13
2021-03-22,1.055454733332956,1.14
2021-03-23,1.0568767794323788,1.13
2021-03-24,1.0567997962942246,1.12
2021-03-25,1.0611574820190222,1.1
2021-03-26,1.0558209294563243,1.06
2021-03-27,1.0509418897207579,1.03
2021-03-28,1.0455374274698963,1.0
2021-03-29,1.041990997800118,0.98
2021-03-30,1.035432368868874,0.96
2021-03-31,1.0331106117581088,0.96
2021-04-01,1.0308243997861328,0.96
2021-04-02,1.0224670684669452,0.96
2021-04-03,1.0152690979573742,0.98
2021-04-04,1.0079361435656102,0.97
2021-04-05,1.0026480245382432,1.0
2021-04-06,0.9966490329393912,1.03
2021-04-07,0.9942901964376886,1.06
2021-04-08,0.9888373302206777,1.11
2021-04-09,0.9825577977553015,1.12
2021-04-10,0.9774350154233122,1.12
2021-04-11,0.9738225023766024,1.14
2021-04-12,0.9704724509740673,1.12
2021-04-13,0.9650084007315008,1.09
2021-04-14,0.959527413954,1.06
2021-04-15,0.9539936783457755,1.02
2021-04-16,0.9457985990778811,1.01
2021-04-17,0.9373314424236964,1.02
2021-04-18,0.9281658192242193,1.03
2021-04-19,0.9163510364284236,1.03
2021-04-20,0.9047162603565968,1.04
2021-04-21,0.8957561554446849,1.02
2021-04-22,0.8876111631645107,1.0
2021-04-23,0.8762690789234069,0.98
2021-04-24,0.8671920101969589,0.95
2021-04-25,0.8584572039453432,0.93
2021-04-26,0.8496405649221649,0.91
2021-04-27,0.8404396534128297,0.89
2021-04-28,0.8337480268346079,0.88
2021-04-29,0.826956300553968,0.88
2021-04-30,0.8203886120603643,0.88
2021-05-01,0.8117201508127649,0.88
2021-05-02,0.8042991428372683,0.88
2021-05-03,0.794114647726379,0.88
2021-05-04,0.7872206220096527,0.87
2021-05-05,0.78347616166517,0.87
2021-05-06,0.7795884368705149,0.87
2021-05-07,0.7713990155315947,0.87
2021-05-08,0.7644954788152301,0.86
2021-05-09,0.7555924287313123,0.85
2021-05-10,0.7489789439235133,0.83
