date,combined_baseline,empirical
2020-09-15,0.0,
2020-09-16,0.0,
2020-09-17,0.0,
2020-09-18,0.0,
2020-09-19,0.0,
2020-09-20,0.0,
2020-09-21,0.0,
2020-09-22,0.0,
2020-09-23,0.0,
2020-09-24,0.0,
2020-09-25,0.0,
2020-09-26,0.0,
2020-09-27,0.0,
2020-09-28,0.0,
2020-09-29,0.0,
2020-09-30,0.0,
2020-10-01,0.0,
2020-10-02,0.0,
2020-10-03,0.0,
2020-10-04,0.0,
2020-10-05,0.0,
2020-10-06,0.0,
2020-10-07,0.0,
2020-10-08,0.0,
2020-10-09,0.0,
2020-10-10,0.0,
2020-10-11,0.0,
2020-10-12,0.0,
2020-10-13,0.0,
2020-10-14,0.0,
2020-10-15,0.0,
2020-10-16,0.0,
2020-10-17,0.0,
2020-10-18,0.0,
2020-10-19,0.0,
2020-10-20,0.0,
2020-10-21,0.0,
2020-10-22,0.0,
2020-10-23,0.0,
2020-10-24,0.0,
2020-10-25,0.0,
2020-10-26,0.0,
2020-10-27,0.0,
2020-10-28,0.0,
2020-10-29,0.0,
2020-10-30,0.0,
2020-10-31,0.0,
2020-11-01,0.0,
2020-11-02,0.0,
2020-11-03,0.0,
2020-11-04,0.0,
2020-11-05,0.0,
2020-11-06,0.0,
2020-11-07,0.0,
2020-11-08,0.0,
2020-11-09,0.0,
2020-11-10,0.0,
2020-11-11,0.0,
2020-11-12,0.0,
2020-11-13,0.0,
2020-11-14,0.0,
2020-11-15,0.0,
2020-11-16,0.0,
2020-11-17,0.0,
2020-11-18,0.0,
2020-11-19,0.0,
2020-11-20,0.0,
2020-11-21,0.0,
2020-11-22,0.0,
2020-11-23,0.0,
2020-11-24,0.0,
2020-11-25,0.0,
2020-11-26,0.0,
2020-11-27,0.0,
2020-11-28,0.0,
2020-11-29,0.0,
2020-11-30,0.0,
2020-12-01,0.0,
2020-12-02,0.0,
2020-12-03,0.0,
2020-12-04,0.0,
2020-12-05,0.0,
2020-12-06,0.0,
2020-12-07,0.0,
2020-12-08,0.0,
2020-12-09,0.0,
2020-12-10,0.0,
2020-12-11,0.0,
2020-12-12,0.0,
2020-12-13,0.0,
2020-12-14,0.0,
2020-12-15,0.0,
2020-12-16,0.0,
2020-12-17,0.0,
2020-12-18,0.0,
2020-12-19,0.0,
2020-12-20,0.0,
2020-12-21,0.0,
2020-12-22,0.0,
2020-12-23,0.0,
2020-12-24,0.0,
2020-12-25,0.0,
2020-12-26,0.0,
2020-12-27,0.0,
2020-12-28,0.0,
2020-12-29,0.0,
2020-12-30,0.0,
2020-12-31,0.0,
2021-01-01,0.0,
2021-01-02,0.0,
2021-01-03,0.00011058966278196688,
2021-01-04,0.00026742627560605097,
2021-01-05,0.0005203554462915565,
2021-01-06,0.0008363127410603785,
2021-01-07,0.0012537517555172707,
2021-01-08,0.0018516230171258283,
2021-01-09,0.002883620697521766,
2021-01-10,0.003962147675857364,
2021-01-11,0.0049216121083219344,
2021-01-12,0.006110966326000776,
2021-01-13,0.007485501663221075,
2021-01-14,0.009106427897918257,
2021-01-15,0.010938512532867673,0.017647058823529415
2021-01-16,0.013431390023481168,0.018823529411764708
2021-01-17,0.0164951851223258,0.02
2021-01-18,0.01898041355292898,0.022285714285714287
2021-01-19,0.021747004335220418,0.024571428571428574
2021-01-20,0.0251944224786561,0.026857142857142857
2021-01-21,0.028939174157059308,0.029142857142857144
2021-01-22,0.03316388832783608,0.03142857142857143
2021-01-23,0.038404054908541964,0.03371428571428572
2021-01-24,0.044103739967835814,0.036000000000000004
2021-01-25,0.04988837250040732,0.037571428571428575
2021-01-26,0.05656357522315577,0.039142857142857146
2021-01-27,0.0635705968093641,0.04071428571428572
2021-01-28,0.07102559706630719,0.04228571428571429
2021-01-29,0.07927157664922245,0.04385714285714286
2021-01-30,0.08920250204339787,0.04542857142857143
2021-01-31,0.09961458644893781,0.047
2021-02-01,0.10589953456530117,0.05057142857142857
2021-02-02,0.11263549531950813,0.054142857142857145
2021-02-03,0.11980143538821937,0.05771428571428572
2021-02-04,0.12744849921442009,0.06128571428571429
2021-02-05,0.13491939750623985,0.06485714285714286
2021-02-06,0.14037772309121235,0.06842857142857144
2021-02-07,0.1454436642890724,0.07200000000000001
2021-02-08,0.15630724713756028,0.08685714285714287
2021-02-09,0.1654708406947821,0.10171428571428573
2021-02-10,0.17473626290378397,0.11657142857142858
2021-02-11,0.18392997175101053,0.13142857142857145
2021-02-12,0.1945143794549296,0.1462857142857143
2021-02-13,0.205863199705605,0.16114285714285714
2021-02-14,0.2175888015172635,0.17600000000000002
2021-02-15,0.22879370336211557,0.18785714285714286
2021-02-16,0.24199885356323037,0.19971428571428573
2021-02-17,0.2556203151380913,0.21157142857142858
2021-02-18,0.27127800795253826,0.22342857142857145
2021-02-19,0.28519303360359205,0.2352857142857143
2021-02-20,0.30107748246856864,0.24714285714285716
2021-02-21,0.3170212394089554,0.259
2021-02-22,0.33321828531267605,0.27914285714285714
2021-02-23,0.35100785737924783,0.2992857142857143
2021-02-24,0.3676972856453632,0.31942857142857145
2021-02-25,0.3837616609992737,0.3395714285714286
2021-02-26,0.4007013246619769,0.35971428571428576
2021-02-27,0.4168751726233652,0.3798571428571429
2021-02-28,0.43478410648535404,0.4
2021-03-01,0.4529777148967536,0.42071428571428576
2021-03-02,0.4698401529435319,0.44142857142857145
2021-03-03,0.4881178068261931,0.4621428571428572
2021-03-04,0.5061978513320193,0.4828571428571429
2021-03-05,0.524124197707947,0.5035714285714286
2021-03-06,0.5423570691156157,0.5242857142857144
2021-03-07,0.5597202688299647,0.545
2021-03-08,0.5766089518920068,0.558
2021-03-09,0.5928977150748884,0.5710000000000001
2021-03-10,0.6092133878038751,0.5840000000000001
2021-03-11,0.626299405605677,0.597
2021-03-12,0.6429381436009928,0.61
2021-03-13,0.6586490676767159,0.623
2021-03-14,0.6740648673365304,0.636
2021-03-15,0.6900315463814183,0.647
2021-03-16,0.7061409543201514,0.658
2021-03-17,0.7210885188625242,0.669
2021-03-18,0.734634521503428,0.6799999999999999
2021-03-19,0.7483571539656727,0.691
2021-03-20,0.7613711915604937,0.702
2021-03-21,0.7727429449166346,0.713
2021-03-22,0.7839293937275896,0.7232857142857143
2021-03-23,0.7950986391684663,0.7335714285714285
2021-03-24,0.8062516248752829,0.7438571428571429
2021-03-25,0.8166054654791837,0.7541428571428571
2021-03-26,0.8261587300795796,0.7644285714285715
2021-03-27,0.8352047909312351,0.7747142857142857
2021-03-28,0.8455330765109142,0.785
2021-03-29,0.8548542011824211,0.7905714285714286
2021-03-30,0.8626459112343207,0.7961428571428572
2021-03-31,0.8706782275582854,0.8017142857142857
2021-04-01,0.8782420287957114,0.8072857142857144
2021-04-02,0.8860593096805739,0.812857142857143
2021-04-03,0.8928242623363931,0.8184285714285715
2021-04-04,0.8981434299075133,0.8240000000000001
2021-04-05,0.9041743383931267,0.8281428571428572
2021-04-06,0.9104206135597028,0.8322857142857143
2021-04-07,0.9158164146788298,0.8364285714285714
2021-04-08,0.9207495444009173,0.8405714285714286
2021-04-09,0.9251777426893484,0.8447142857142858
2021-04-10,0.9298054942284806,0.8488571428571429
2021-04-11,0.9343218734469345,0.853
2021-04-12,0.9380292053235859,0.859
2021-04-13,0.9419881418721182,0.865
2021-04-14,0.9456552818042656,0.871
2021-04-15,0.9489586598635119,0.877
2021-04-16,0.9523553861939288,0.883
2021-04-17,0.9551535293649192,0.889
2021-04-18,0.9579680796805324,0.895
2021-04-19,0.9607397013287369,0.8975714285714286
2021-04-20,0.9627832728987279,0.9001428571428571
2021-04-21,0.9649816326019237,0.9027142857142857
2021-04-22,0.9672202764965586,0.9052857142857142
2021-04-23,0.9691891886034166,0.9078571428571428
2021-04-24,0.9711215155161685,0.9104285714285714
2021-04-25,0.9729224612636566,0.9129999999999999
2021-04-26,0.974770390214527,0.9122857142857143
2021-04-27,0.9767022319402916,0.9115714285714285
2021-04-28,0.977798361957673,0.9108571428571428
2021-04-29,0.9793038005176798,0.910142857142857
2021-04-30,0.9803024989090205,0.9094285714285714
2021-05-01,0.981316133564284,0.9087142857142856
