date,spring_baseline,spring_no_effects,spring_without_rapid_tests_without_seasonality,spring_without_rapid_tests_and_no_vaccinations,spring_without_vaccinations_without_seasonality
2021-01-15,13.383901579688235,13.340807140379212,13.303869049542909,13.36132830195494,13.400318508948816
2021-01-16,13.336702908064069,13.25051402944602,13.135595524621957,13.232044984027869,13.32233809496106
2021-01-17,13.496767968354725,13.36953676658523,13.279243655652035,13.388005812003382,13.478298922936576
2021-01-18,13.40237062510639,13.353119837324648,13.195106893191562,13.36953676658523,13.488559503724437
2021-01-19,13.143803989252246,13.137647640779532,12.952957186598,13.1622730346704,13.205367473979425
2021-01-20,13.00220797437974,12.973478348173723,12.866768307979951,13.002207974379738,13.06377145910692
2021-01-21,12.975530464331294,12.897550050343542,12.866768307979953,12.993999509749449,13.053510878319054
2021-01-22,12.774423080889187,12.731328641580165,12.630774949859108,12.692338434586285,12.846247146404226
2021-01-23,12.534325490453197,12.501491631932037,12.419406985629132,12.427615450259426,12.501491631932035
2021-01-24,12.220351718344597,12.123902258938687,12.035661264163062,12.091068400417525,12.082859935787233
2021-01-25,12.03360914800549,11.787355209096784,11.850970809981536,11.805824254514938,11.731948072842325
2021-01-26,11.850970809981536,11.674488820430293,11.748365002102904,11.656019775012144,11.660124007327287
2021-01-27,11.619081684175836,11.442599694624596,11.47132932083061,11.454912391570032,11.444651810782169
2021-01-28,11.19018940724317,11.089635715522117,11.126573806358419,11.08758359936454,11.07116667010396
2021-01-29,10.831069079667971,10.718202691001482,10.783870408043803,10.738723852577207,10.697681529425756
2021-01-30,10.539668585292667,10.393968338105019,10.486313565195786,10.566346095341112,10.558137630710824
2021-01-31,10.270841368650663,10.147714399196312,10.379603525002011,10.389864105789874,10.42680219662618
2021-02-01,9.944554899596627,9.956867596542065,10.051264939790402,10.047160707475257,10.20927788392349
2021-02-02,9.67367556679705,9.601851501282008,9.735239051524225,9.727030586893935,9.841949091717998
2021-02-03,9.44999490562164,9.310451006906705,9.470516067197368,9.527975319609398,9.544392248869977
2021-02-04,9.22426212828866,8.988268770167814,9.16064652740391,9.207845199028078,9.265304451440109
2021-02-05,9.078561881101004,8.871298149186178,8.9369658662285,9.041623790264703,9.012894164058684
2021-02-06,8.803578315986282,8.653773836483486,8.754327528204543,8.797421967513568,8.60657516485932
2021-02-07,8.514229937768555,8.464979149986812,8.368529690580901,8.448562220726233,8.286445044278
2021-02-08,8.235142140338684,8.16947442329636,8.068920731575309,8.198204049502378,7.951950110593672
2021-02-09,7.954002226751242,7.943741645963383,7.806249863406021,7.912959903599796,7.646184803115363
2021-02-10,7.621559409224489,7.68517501010924,7.58051708607304,7.584621318388186,7.42866049041267
2021-02-11,7.416347793467233,7.471754929721693,7.3301589148491875,7.404035096521801,7.159833273770665
2021-02-12,7.051071117419317,7.1639375060858095,7.126999415249505,7.155729041455521,6.946413193383121
2021-02-13,6.7760875523045945,6.923839915649819,6.8581721986075,6.8068692946681875,6.776087552304598
2021-02-14,6.607814027383643,6.780191784619742,6.632439421274518,6.671429628268397,6.550354774971615
2021-02-15,6.382081250050662,6.535989961868608,6.468270128668714,6.460061664038423,6.357455856159797
2021-02-16,6.160452705032827,6.33077834611135,6.22406830591758,6.234328886705442,6.252797932123595
2021-02-17,5.983970715481588,6.236381002863014,5.9716580185361545,6.08862863951779,6.102993452620799
2021-02-18,5.789019680512194,6.127618846511669,5.825957771348502,5.942928392330141,5.897781836863543
2021-02-19,5.618694039433671,5.949084740802856,5.692570221106286,5.72540407962745,5.708987150366869
2021-02-20,5.429899352936997,5.832114119821219,5.569443251651933,5.6186940394336755,5.65563213026998
2021-02-21,5.2349483179676035,5.698726569579004,5.464785327615732,5.423743004464282,5.522244580027764
2021-02-22,5.1302903939314035,5.645371549482117,5.275990641119055,5.290355454222065,5.446316282197581
2021-02-23,5.017424005264911,5.559182670864069,5.237000434125179,5.3026681511675005,5.3642316358946776
2021-02-24,4.927130894331719,5.493514953821747,5.261625828016049,5.228791969494889,5.1980102271313005
2021-02-25,4.721919278574463,5.341658358161379,5.212375040234307,5.093352303095099,5.152863671664704
2021-02-26,4.689085420053303,5.298563918852354,5.122081929301115,5.076935373834519,5.115925580828398
2021-02-27,4.674720606950293,5.218531388707024,5.039997282998211,4.990746495216471,4.9927986113740435
2021-02-28,4.539280940550506,5.068726909204228,4.912766081228712,4.900453384283279,4.879932222707553
2021-03-01,4.424362435726442,4.996902843689189,4.896349151968133,4.855306828816682,4.828629318768239
2021-03-02,4.3833201125749905,4.87788010654998,4.890192803495414,4.748596788622908,4.7444925563077645
2021-03-03,4.288922769326652,4.7937433440895045,4.797847576404648,4.713710813944175,4.719867162416892
2021-03-04,4.229411400757048,4.810160273350086,4.7219192785744655,4.549541521338371,4.680876955423014
2021-03-05,4.151430986769291,4.801951808719794,4.734231975519901,4.442831481144597,4.74244044015019
2021-03-06,4.118597128248131,4.840942015713675,4.771170066356206,4.465404758877895,4.779378530986498
2021-03-07,4.147326754454147,4.929183010489295,4.8491504803439645,4.535176708235364,4.826577202610666
2021-03-08,4.139118289823856,4.962016869010455,4.90250550044085,4.570062682914096,4.840942015713674
2021-03-09,4.14117040598143,5.07898748999209,4.886088571180268,4.543385172865654,4.818368737980375
2021-03-10,4.1288577090359935,5.165176368610137,4.892244919652987,4.5249161274475,4.836837783398527
2021-03-11,4.192473309920742,5.23905255028275,4.972277449798317,4.62136558685341,4.8819843388651245
2021-03-12,4.186316961448025,5.335502009688661,5.056414212258791,4.641886748429136,4.851202596501537
2021-03-13,4.153483102926864,5.427847236779427,5.093352303095099,4.732179859362328,4.8614631772894
2021-03-14,4.07755480509668,5.421690888306707,5.089248070779954,4.631626167641273,4.904557616598423
2021-03-15,4.026251901157365,5.536609393130771,5.134394626246549,4.6562515615321445,4.945599939749875
2021-03-16,3.9523757194847535,5.717195614997156,5.220583504864598,4.70960658162903,4.986642262901325
2021-03-17,3.952375719484753,5.828009887506075,5.335502009688661,4.760909485568345,5.019476121422486
2021-03-18,3.9298024417514545,5.899833953021115,5.378596448997683,4.834785667240957,5.122081929301114
