date,spring_baseline,spring_no_effects,spring_without_rapid_tests_without_seasonality,spring_without_rapid_tests_and_no_vaccinations,spring_without_vaccinations_without_seasonality
2021-01-15,374.1803976323915,375.9774357515778,377.27888781871036,375.79787558779026,373.2983981078668
2021-01-16,364.75851671812865,367.286723824258,369.3006706212998,366.7710270338599,365.5572003266558
2021-01-17,356.7228402683059,359.67624584228446,362.00765500890253,359.1806597902306,358.0946799196433
2021-01-18,344.6147393037806,349.2042970901917,350.4899478629108,348.0867146307777,346.29973188076343
2021-01-19,334.1111879628612,338.49820188452,339.9662857836472,337.19818629869764,335.4083305860628
2021-01-20,323.69382550055985,328.5678065864105,330.4653983973177,327.5737615196823,325.0326260817602
2021-01-21,313.5422120806641,319.5696876586863,320.6312473469986,317.86314786204895,315.4599146299158
2021-01-22,304.2783441105344,310.1664810014574,311.11743162887643,308.45850472350963,306.50345366019036
2021-01-23,297.3861067837112,304.1418783860558,304.66906702693615,301.9742280888119,299.8812748197036
2021-01-24,291.44338360299673,299.1386139822782,299.68304039888216,296.22542988498816,294.12960365325927
2021-01-25,282.5199617034083,291.22360196252083,291.54250081340757,287.9125125422774,285.9474061097861
2021-01-26,274.0734515988396,284.0885992942567,284.30263500949155,279.9342953448668,278.7750549274541
2021-01-27,266.59800286003434,277.19923493005416,277.52818915011295,272.351110507789,271.86845278752793
2021-01-28,259.0550394996448,270.37738518743566,270.9577236367972,264.67742734816215,264.86416991850126
2021-01-29,251.22765283981582,264.32117998320757,264.91157380174116,258.0868510965022,258.32961643794295
2021-01-30,247.0891501848392,260.51163154828987,261.10633481075433,253.8434853058736,253.81331919835722
2021-01-31,243.0928591795824,257.0238549268795,257.0726952914298,249.96785873068208,249.96929521199232
2021-02-01,235.98084021228317,250.29824943205122,250.82256511031102,242.87738698303738,243.28247471254218
2021-02-02,228.65047608581827,244.44746105519607,244.99188747180008,236.40891164275288,237.14008062969597
2021-02-03,222.00244058174616,238.7719233981976,239.3106038895604,229.97778481653623,231.2131587433949
2021-02-04,215.53971116670292,232.80047059127725,233.4784897697392,224.19882050519615,225.45861461432997
2021-02-05,209.09134656476272,227.4567601169583,227.4064832710978,217.89841347821687,219.34925960162064
2021-02-06,204.34664879683916,223.47627040611485,223.26798061612118,213.8044417438596,215.3213660075372
2021-02-07,199.32183717340698,219.4354484802387,219.61788160664688,209.04681564414335,211.16562557683702
2021-02-08,193.17369716531962,214.2080929920541,214.28566298281032,202.8756919350912,205.36655052715275
2021-02-09,188.06844258851066,209.2235028453104,208.9534443589738,197.10678299292323,199.64648194953497
2021-02-10,182.4273804829594,204.87383743771954,204.38974323614818,192.3865054072748,194.83857900395824
2021-02-11,181.2092443318243,205.74865455569272,204.73449875062042,190.97875372318,194.0284035449486
2021-02-12,179.59176637642565,205.60644290597298,204.4773685960766,189.93874125452223,193.50983379192996
2021-02-13,179.93939485351842,207.84735375004223,205.7658923314164,190.85377984918384,195.09858212112275
2021-02-14,181.48217578078155,210.7849580296073,207.89619411459245,192.3606487436894,197.0148481890639
2021-02-15,181.03255713065724,213.1336049719491,209.74207259832895,193.1176743942179,198.38094191516
2021-02-16,181.8829540663554,217.4904527860914,212.7155889106516,195.1028915650536,201.36307711534442
2021-02-17,183.7805458772627,221.9665285489887,216.4130918033658,197.05937910968325,204.5836682130388
2021-02-18,182.46903844095812,223.39726393404828,216.199056088131,196.72324248307285,204.67416653558774
2021-02-19,181.93610387483653,225.66403144170292,217.80073274911638,196.46611232852902,205.72279789210734
2021-02-20,182.17743273496708,228.26980853858853,219.99854915387655,196.5910862025252,207.1305495762021
2021-02-21,182.22483661820695,230.6385662192746,222.35437850276995,197.45584795132626,209.49643429426754
2021-02-22,183.31656241403556,235.49818249202218,225.3178394459204,198.5418278219137,212.14386934915188
2021-02-23,184.07215158325383,240.01735269422846,228.98373974980808,200.17510707172568,215.47650598904968
2021-02-24,185.11647349584248,245.29354854696328,232.5735065442498,201.94054260208537,218.80483318501666
2021-02-25,186.18090614677538,250.66598864748823,237.83533758388154,203.78929404844249,223.05681786350704
2021-02-26,187.3746221156353,256.9491578987439,242.29273908974488,205.71561548555582,227.90781524839275
2021-02-27,188.4289993973961,262.0558489568632,246.39676619327426,207.8358618995598,231.91128866020108
2021-02-28,189.77067294121707,267.54033459959163,251.05096563864882,209.70328760295087,235.47519879105735
2021-03-01,191.523180139784,275.25711219852747,257.8009913157523,212.82619797154476,241.7540585983821
2021-03-02,194.4263088679019,284.2394298318383,264.9604141662914,215.7508739193172,247.61490234440936
2021-03-03,196.7950665485879,293.24329468480374,272.0824885027627,219.11080370411074,253.70701958139497
2021-03-04,199.55885658960668,302.76572929078776,280.5347445325726,222.82267140992795,260.9353935348286
2021-03-05,202.3743599577962,313.4287300571504,289.97673618517973,227.0947668267625,268.06895972178233
2021-03-06,204.7503000450337,322.43115842880553,296.907758507381,230.50928290134755,274.3104710150393
2021-03-07,206.95386237503513,332.8887423677952,304.2611063348107,234.5587237150855,281.1481220520711
2021-03-08,210.1629616222471,346.46349075013774,314.47017900711853,240.08199435319196,289.3231371889929
2021-03-09,212.83912630333745,360.2608937355769,325.18920254458305,244.93586470069837,299.28657155723914
