date,spring_no_effects,spring_without_rapid_tests_and_no_vaccinations,spring_without_rapid_tests,spring_baseline
2021-01-15,12.731328641580161,12.659504576065123,12.788787893992197,12.725172293107443
2021-01-16,12.602045323653089,12.499439515774466,12.677973621483279,12.604097439810662
2021-01-17,12.55279453587135,12.335270223168662,12.517908561192618,12.4666056572533
2021-01-18,12.548690303556207,12.41735486947156,12.538429722768344,12.522012793507761
2021-01-19,12.491231051144174,12.347582920114096,12.483022586513886,12.452240844150298
2021-01-20,12.298332132332353,12.189569975981009,12.343478687798948,12.376312546320113
2021-01-21,12.119798026623538,12.109537445835679,12.230612299132458,12.214195369871877
2021-01-22,11.889961016975413,11.865335623084542,11.988462592538896,12.03155703184792
2021-01-23,11.834553880720955,11.828397532248232,11.900221597763277,11.93305545628444
2021-01-24,11.729895956684754,11.826345416090664,11.844814461508816,11.883804668502698
2021-01-25,11.5472576186608,11.59650840644254,11.59650840644254,11.614977451860693
2021-01-26,11.28663886664908,11.344098119061112,11.409765836103437,11.321524841327811
2021-01-27,11.145042851776576,11.179928826455306,11.319472725170243,11.058853973158527
2021-01-28,10.984977791485914,10.94188335217689,11.110156877097841,10.882371983607284
2021-01-29,10.734619620262063,10.66689978706217,10.835173311983118,10.512991075244225
2021-01-30,10.272893484808238,10.2831540655961,10.474000868250348,10.147714399196309
2021-01-31,9.800906768566552,9.788594071621112,10.020483197426813,9.759864445415099
2021-02-01,9.441786440991349,9.482828764142798,9.640841708275891,9.517714738821535
2021-02-02,9.201688850555364,9.279669264543116,9.361753910846021,9.351493330058156
2021-02-03,8.955434911646654,9.070353416470715,9.03957167410713,9.142177481985756
2021-02-04,8.657878068798633,8.8323079421923,8.752275412046972,8.87335026534375
2021-02-05,8.458822801514096,8.561428609392722,8.475239730774677,8.68045134653193
2021-02-06,8.298757741223435,8.294653508908288,8.257715418071985,8.407519897574778
2021-02-07,8.107910938569187,8.148953261720639,8.122275751672197,8.120223635514622
2021-02-08,7.876021812763487,7.853448535030187,7.923220484387656,7.853448535030191
2021-02-09,7.555891692182169,7.590777666860901,7.580517086073039,7.521005717503433
2021-02-10,7.276803894752301,7.282960243225017,7.348627960267339,7.174198086873672
2021-02-11,7.081852859782908,7.022341491213303,7.0880092082556265,6.895110289443805
2021-02-12,6.835598920874202,6.819181991613618,6.852015850134783,6.620126724329083
2021-02-13,6.632439421274517,6.663221163638103,6.607814027383648,6.388237598523384
2021-02-14,6.474426477141431,6.414915108571825,6.388237598523384,6.236381002863014
2021-02-15,6.287683906802328,6.254850048281162,6.252797932123595,6.00859610937246
2021-02-16,6.11120191725109,6.06605536178449,6.115306149566234,5.875208559130241
2021-02-17,6.016804574002751,5.891625488390821,5.938824160014993,5.696674453421431
2021-02-18,5.858791629869663,5.696674453421429,5.864947978342381,5.493514953821748
2021-02-19,5.752081589675892,5.573547483967076,5.739768892730454,5.368335868209821
2021-02-20,5.631006736379111,5.364231635894675,5.635110968694254,5.288303338064491
2021-02-21,5.425795120621853,5.247261014913039,5.431951469094572,5.165176368610138
2021-02-22,5.3642316358946776,5.165176368610137,5.306772383482647,5.064622676889083
2021-02-23,5.351918938949241,5.013319772949767,5.154915787822276,4.988694379058898
2021-02-24,5.136446742404123,4.900453384283276,5.060518444573939,4.964068985168026
2021-02-25,5.117977696985971,4.873775874234833,4.943547823592302,4.943547823592301
2021-02-26,5.066674793046656,4.884036455022695,4.945599939749875,4.879932222707552
2021-02-27,4.972277449798318,4.756805253253197,4.81426450566523,4.7383362078350455
2021-02-28,5.039997282998213,4.660355793847286,4.779378530986497,4.678824839265441
2021-03-01,5.0584663284163645,4.6152092383806895,4.695241768526022,4.578271147544385
2021-03-02,5.060518444573938,4.633678283798844,4.687033303895732,4.516707662817209
2021-03-03,5.171332717082857,4.629574051483697,4.54954152133837,4.539280940550507
2021-03-04,5.117977696985971,4.520811895132352,4.487978036611193,4.418206087253725
2021-03-05,5.146707323191988,4.420258203411297,4.3135481632175265,4.4120497387810085
2021-03-06,5.18980176250101,4.4654047588778925,4.30123546627209,4.362798950999266
2021-03-07,5.2205835048645985,4.487978036611191,4.274557956223647,4.23761986538734
2021-03-08,5.144655207034414,4.385372228732563,4.321756627847816,4.202733890708607
2021-03-09,5.195958110973728,4.358694718684119,4.237619865387341,4.112440779775414
2021-03-10,5.255469479543333,4.368955299471982,4.2848185370115095,3.9728968810604797
2021-03-11,5.395013378258266,4.346382021738683,4.256088910805494,3.983157461848343
2021-03-12,5.39911761057341,4.4058933903082895,4.241724097702486,3.923646093278739
2021-03-13,5.493514953821749,4.403841274150717,4.210942355338898,3.9113333963333035
