date,spring_no_effects,spring_without_rapid_tests_and_no_vaccinations,spring_without_rapid_tests,spring_baseline
2021-01-15,534.8738158904999,527.3179241983178,527.8617349800745,529.3967178659389
2021-01-16,522.3948975363012,514.709722526192,515.6988425141419,515.9861387762021
2021-01-17,512.0440236375052,504.2582949356749,505.6947762459757,505.3151347568247
2021-01-18,495.75227346253655,487.82084451351875,488.56576267871753,488.1060886594213
2021-01-19,480.9503596179658,472.9984095073722,474.1947932272369,473.25492402706874
2021-01-20,467.95841222437394,458.7875051161821,460.54822077937933,459.1712508376482
2021-01-21,453.9465631004685,445.5739291775724,446.74979173586144,445.99666510603237
2021-01-22,440.7924985304283,432.4034476782717,433.41514094395495,431.7713959017393
2021-01-23,432.64149315255,423.56908761992185,424.1334195632542,422.67436497522016
2021-01-24,425.7361222823184,415.9454760945398,416.2553456343332,413.5629692355981
2021-01-25,414.3735551178393,403.49939159886213,405.10825066639904,401.018383164357
2021-01-26,403.7435934216133,392.25995140383725,393.93653030457415,389.4177705255994
2021-01-27,394.0021980216164,383.0890442956454,383.9283598040927,378.32608269391966
2021-01-28,385.0241898322364,372.9885285680734,373.89351179356277,366.9040041608707
2021-01-29,375.5741949266148,363.4851786423548,364.54201846350475,356.1796451213965
2021-01-30,369.77696678147225,356.99023100363763,358.9458977018043,350.1443715019757
2021-01-31,364.9278163011285,351.4905597013432,352.60691089106274,344.7596187045053
2021-02-01,355.74459649599123,342.22115101758806,342.4284147495028,334.57907044678774
2021-02-02,347.5053501233372,333.2472470605231,333.1035989294931,324.45803355763996
2021-02-03,339.02805827640515,323.5674151452534,324.5113885777368,315.9725332460774
2021-02-04,331.0843166304417,314.89722437950934,315.18657275772705,306.29885767928045
2021-02-05,324.8561440922091,306.74211476931595,306.6107793352314,298.05961130662655
2021-02-06,319.4303489715871,300.93052181107043,299.9578187523811,291.5174649962852
2021-02-07,313.1549777617303,294.25293583432943,294.398636081517,284.4356121365023
2021-02-08,306.53485103740115,285.9911161839422,285.9746992546817,275.7551607899704
2021-02-09,300.0091216563204,278.6527488044628,277.97144624014874,268.07409001217627
2021-02-10,293.6988644717848,271.618094616304,270.5099518912149,259.865625381886
2021-02-11,294.07850596093584,269.6521673373495,268.7246108341268,258.49275967247
2021-02-12,293.90407608754214,268.29571855719405,266.9105401508326,256.33598559086124
2021-02-13,297.54247803491825,269.88816069547033,267.840148770213,256.3770279140127
2021-02-14,302.1843647833474,272.40610722081186,269.53930094868304,258.48249909168214
2021-02-15,305.90895560934155,274.1504059547486,270.8464989410568,258.38194539996107
2021-02-16,311.5748483203994,277.11776591859854,273.80770255643404,260.17549492167944
2021-02-17,318.71210831643674,280.6350930126779,277.5343454985857,262.8206726487905
2021-02-18,321.46604819989915,280.47297583622964,277.0356812722956,260.6515858702363
2021-02-19,324.65093247645177,280.0050933523031,277.0890362923925,259.8286872910497
2021-02-20,328.01640297487086,280.87929483542905,278.34493138082695,260.417644628273
2021-02-21,332.24991860794296,282.1495547369664,279.7116407417703,260.6084914309273
2021-02-22,337.72701663250416,284.1134298997634,280.4114123515025,261.24669955593237
2021-02-23,343.9900751454155,286.06909659793007,282.47789332217803,261.78024975690124
