date,spring_baseline,spring_no_effects,spring_without_seasonality,spring_without_vaccines,spring_without_rapid_tests
2021-01-15,374.1803976323915,375.9774357515778,373.9663619171567,373.0541962851157,376.40981662597835
2021-01-16,364.75851671812865,367.286723824258,364.8231583770922,364.1882336379392,367.86562579230923
2021-01-17,356.7228402683059,359.67624584228446,357.27875853539246,356.08073312260154,359.8285128611763
2021-01-18,344.6147393037806,349.2042970901917,346.11155282911403,344.2225799060685,348.379756818079
2021-01-19,334.1111879628612,338.49820188452,335.67838907239934,333.345543424471,338.26836487487174
2021-01-20,323.69382550055985,328.5678065864105,326.05971021862536,321.9212075636487,328.51034733399837
2021-01-21,313.5422120806641,319.5696876586863,317.1046857302101,311.5914704612757,318.79686071374454
2021-01-22,304.2783441105344,310.1664810014574,308.3579510317886,302.51003561755414,309.0546444672845
2021-01-23,297.3861067837112,304.1418783860558,302.30030934625023,295.71978846376226,302.3017458275605
2021-01-24,291.44338360299673,299.1386139822782,296.71957945573166,289.69805881098125,296.8445533297278
2021-01-25,282.5199617034083,291.22360196252083,287.8062129253152,280.6338617429834,288.4655578467433
2021-01-26,274.0734515988396,284.0885992942567,280.1368392096193,272.4401723490276,280.51176083160783
2021-01-27,266.59800286003434,277.19923493005416,273.3379731679656,265.21179839559403,273.0463674619746
2021-01-28,259.0550394996448,270.37738518743566,266.28054049045784,257.67027151651484,265.58097409234136
2021-01-29,251.22765283981582,264.32117998320757,259.26476577094877,249.99227891295712,258.9530493266135
2021-01-30,247.0891501848392,260.51163154828987,255.12913607859275,245.34526187413405,254.6206216947463
2021-01-31,243.0928591795824,257.0238549268795,251.52213150842752,241.21537810701926,250.24940906750098
2021-02-01,235.98084021228317,250.29824943205122,244.83243804635674,233.58622586801175,242.60445553408016
2021-02-02,228.65047608581827,244.44746105519607,238.00196941587643,226.48713523250527,236.04117242731587
2021-02-03,222.00244058174616,238.7719233981976,232.0793569735063,220.20396598124958,229.41324766158806
2021-02-04,215.53971116670292,232.80047059127725,226.06624620858722,213.77427563634328,222.94764528392415
2021-02-05,209.09134656476272,227.4567601169583,220.42374762172565,207.41066343171076,216.19761960682072
2021-02-06,204.34664879683916,223.47627040611485,216.21773034516494,202.84696230888514,211.7703842084737
2021-02-07,199.32183717340698,219.4354484802387,211.42706517531178,198.33497451323038,207.54569267487904
2021-02-08,193.17369716531962,214.2080929920541,206.12501265899158,192.65800037492164,201.8428618729849
2021-02-09,188.06844258851066,209.2235028453104,201.61589782595738,187.39185989135893,195.9317412810972
2021-02-10,182.4273804829594,204.87383743771954,196.06246108033446,182.20472587986276,191.17986110662213
2021-02-11,181.2092443318243,205.74865455569272,195.1531684109141,180.66481791522034,190.37686805416396
2021-02-12,179.59176637642565,205.60644290597298,194.50962478389937,179.3762941798805,188.93895026255294
2021-02-13,179.93939485351842,207.84735375004223,195.921685911925,179.88193560110642,189.31961780978267
2021-02-14,181.48217578078155,210.7849580296073,198.0735349147556,180.9952086165895,190.36537620368162
2021-02-15,181.03255713065724,213.1336049719491,199.3419479117512,181.17045933644619,190.63112524608724
2021-02-16,181.8829540663554,217.4904527860914,201.92474130767204,182.0452764544194,192.48849558030614
2021-02-17,183.7805458772627,221.9665285489887,205.458485331012,184.03911251311686,194.6863119850664
2021-02-18,182.46903844095812,223.39726393404828,205.8563906539653,183.0651781847329,193.23977530559347
2021-02-19,181.93610387483653,225.66403144170292,206.8676734964171,182.49202214192292,193.46530287131074
2021-02-20,182.17743273496708,228.26980853858853,208.17774445141134,182.53224361861132,194.2036542648053
2021-02-21,182.22483661820695,230.6385662192746,209.8727923975663,183.19015205872913,195.1072010089845
2021-02-22,183.31656241403556,235.49818249202218,212.3004458119747,183.63402478361206,195.9877640521989
2021-02-23,184.07215158325383,240.01735269422846,214.84876365644828,184.89525537405615,197.04214133395968
2021-02-24,185.11647349584248,245.29354854696328,217.52923778146953,185.80454804347656,197.39120629236277
2021-02-25,186.18090614677538,250.66598864748823,220.7699396175082,186.56875610055658,198.82481464004297
2021-02-26,187.3746221156353,256.9491578987439,223.58113354176683,188.32269978043388,199.7843841553239
2021-02-27,188.4289993973961,262.0558489568632,226.82183537780537,189.72039609535653,200.63047164709107
2021-02-28,189.77067294121707,267.54033459959163,230.00076851750103,190.86239873704565,201.71357855505784
2021-03-01,191.523180139784,275.25711219852747,234.6219288927387,192.98408163235996,203.9085219971975
2021-03-02,194.4263088679019,284.2394298318383,239.52463960479525,195.54389132731595,206.34192133684698
2021-03-03,196.7950665485879,293.24329468480374,245.16139226641556,197.8264601293839,209.770802224535
2021-03-04,199.55885658960668,302.76572929078776,250.7809071523123,200.88329235770397,212.8779112987156
2021-03-05,202.3743599577962,313.4287300571504,257.0439656652237,203.67006609968755,216.37287032667746
2021-03-06,204.7503000450337,322.43115842880553,262.5830375977436,206.2068920936787,219.37655274651644
2021-03-07,206.95386237503513,332.8887423677952,268.3921680166,209.22206636400006,222.2566977736695
2021-03-08,210.1629616222471,346.46349075013774,275.62054197003357,212.5590124478289,225.9398358532807
2021-03-09,212.83912630333745,360.2608937355769,282.91786702636165,215.36446044684624,229.7551302134396
2021-03-10,215.7120889239391,373.8298961926781,289.5702119743646,219.1682629565228,233.8203723215908
2021-03-11,218.18140029634614,390.14257795245396,298.0856731818277,222.85283751744424,238.14992699083743
2021-03-12,220.98828477667385,406.74255597428987,306.4330660759855,226.09784879741377,242.92766382889783
2021-03-13,224.2088758743683,420.7137731982754,313.3683978421178,228.88749550201794,246.6481504225769
2021-03-14,226.96691999014578,434.9866514974241,320.8323547304408,231.57658851490098,250.70046419893544
