date,spring_no_effects
2021-01-15,373.8514434123327
2021-01-16,364.9553146576399
2021-01-17,358.42219765839184
2021-01-18,347.2075880688735
2021-01-19,337.1723296351122
2021-01-20,327.82370926767464
2021-01-21,318.2021574512799
2021-01-22,309.6005073651988
2021-01-23,303.6003249320724
2021-01-24,298.11009336410274
2021-01-25,290.76823738715547
2021-01-26,283.4191990036566
2021-01-27,277.0081829157842
2021-01-28,270.6847921878401
2021-01-29,264.81963899788195
2021-01-30,261.25860182964624
2021-01-31,257.7808805774081
2021-02-01,251.2262163585055
2021-02-02,246.06206604797413
2021-02-03,240.04320935781385
2021-02-04,234.72391906577008
2021-02-05,229.77667743309414
2021-02-06,225.79475124094031
2021-02-07,221.81569801140716
2021-02-08,216.6673489952891
2021-02-09,211.42993813793237
2021-02-10,207.56149396929237
2021-02-11,208.1116663111376
2021-02-12,208.0427152082431
2021-02-13,210.97601004387735
2021-02-14,213.70676101475914
2021-02-15,216.56535882225776
2021-02-16,220.77424906143904
2021-02-17,225.94845474114248
2021-02-18,227.1407342286921
2021-02-19,229.5382215355842
2021-02-20,231.60531814110703
2021-02-21,234.48546316826017
2021-02-22,238.4803176922066
2021-02-23,242.90468012793312
2021-02-24,246.62085727768124
2021-02-25,251.96025830806923
2021-02-26,256.854350132264
2021-02-27,261.01440000689513
2021-02-28,266.0305927424655
2021-03-01,273.5994127664404
2021-03-02,281.8318871557742
2021-03-03,290.2827067042738
2021-03-04,299.66005669791735
2021-03-05,310.6864872357862
2021-03-06,319.54526747641114
2021-03-07,329.3133403864567
2021-03-08,342.008962206895
2021-03-09,355.0996163876662
2021-03-10,368.466074980015
2021-03-11,383.10669249460074
2021-03-12,398.5546125055754
2021-03-13,411.9167616539934
2021-03-14,425.5935002093672
2021-03-15,445.87087038557314
2021-03-16,466.9813997217536
2021-03-17,489.2640978071395
2021-03-18,514.2876022325793
2021-03-19,539.0309928025105
2021-03-20,560.4158900689583
2021-03-21,582.2590248733921
2021-03-22,613.0342004652763
2021-03-23,644.6669553994102
2021-03-24,677.2736446619277
2021-03-25,712.7906450591149
2021-03-26,750.0601526548688
2021-03-27,780.9847223030243
2021-03-28,813.4305256587884
2021-03-29,862.1818283677766
2021-03-30,910.9589877403504
2021-03-31,959.2060855094231
2021-04-01,1013.0669522391511
2021-04-02,1059.4696080057977
2021-04-03,1110.944479279116
2021-04-04,1165.3856844582058
2021-04-05,1218.055708181695
2021-04-06,1286.2066909862954
2021-04-07,1354.2370093608304
2021-04-08,1425.6071467818151
2021-04-09,1508.7377566902317
2021-04-10,1574.864737328619
2021-04-11,1632.7736083907753
2021-04-12,1721.5036224467442
2021-04-13,1797.5796726402739
2021-04-14,1872.286756145087
2021-04-15,1954.0512723274082
2021-04-16,2035.235450060368
2021-04-17,2097.8746540773445
2021-04-18,2167.9347205433346
2021-04-19,2261.949549339901
2021-04-20,2354.082587619973
2021-04-21,2446.596293447275
2021-04-22,2539.989125836481
2021-04-23,2635.438999462038
2021-04-24,2714.2903315470685
2021-04-25,2793.510839328846
2021-04-26,2891.1269267703374
2021-04-27,2990.879061920244
2021-04-28,3081.3745115065744
2021-04-29,3177.8945637083048
2021-04-30,3265.903464146503
2021-05-01,3345.1096071151787
2021-05-02,3423.2024770683715
2021-05-03,3521.489401281773
2021-05-04,3615.4122952744797
2021-05-05,3707.0770406473926
2021-05-06,3799.264665217257
2021-05-07,3889.508730574284
2021-05-08,3960.271236401011
2021-05-09,4026.6596566378726
2021-05-10,4097.371885618739
2021-05-11,4168.706111006966
2021-05-12,4230.829618233545
2021-05-13,4250.493610890252
2021-05-14,4284.4089346264545
2021-05-15,4319.950355205916
2021-05-16,4353.7493239559835
2021-05-17,4375.231901951533
2021-05-18,4384.143832000638
2021-05-19,4388.059680052517
2021-05-20,4419.800171084924
2021-05-21,4422.345615966778
2021-05-22,4418.34357903628
2021-05-23,4400.53121078855
2021-05-24,4328.457197525518
2021-05-25,4303.331702927046
2021-05-26,4263.08867901897
2021-05-27,4214.80710569845
2021-05-28,4158.395048161627
2021-05-29,4122.131077483084
2021-05-30,4086.217608244254
2021-05-31,4049.222468578767
