date,spring_baseline,robustness_check_early,robustness_check_medium,robustness_check_late
2021-01-01,767.4401400281982,767.4401400281982,767.4401400281982,767.4401400281982
2021-01-02,665.4643318099448,664.2289578830863,665.2847716461575,664.7389087482429
2021-01-03,622.4800227347109,622.6571887629814,623.2365695581359,622.8247782491832
2021-01-04,659.6645385196056,659.628626486848,660.2534958568289,659.4670223394392
2021-01-05,671.181527424942,670.4690326950328,671.8480547529218,670.9459444900527
2021-01-06,671.3993937570044,670.5877818166845,670.8918370273648,670.1688081011799
2021-01-07,671.0850779655361,669.4208117617449,669.736837650011,670.0323423767015
2021-01-08,654.0997125293081,652.5072703910316,652.679648148268,654.4095820691016
2021-01-09,638.1937601919632,636.3591683470934,635.9487451155786,638.2902096513692
2021-01-10,621.2699582404622,618.3108067412426,618.5426958670482,620.3690792472878
2021-01-11,600.9581125128091,596.4434569661495,596.5665839356038,599.0886346932605
2021-01-12,581.385028601882,577.1761383627007,576.5009921468593,579.1502741062855
2021-01-13,563.361292389922,558.6414252275052,558.0791454003304,562.0951367207
2021-01-14,545.7705526872102,540.6813046164303,540.149806531619,543.8826058222434
2021-01-15,529.3967178659389,522.9982196866274,522.4995554603372,525.7460032216172
2021-01-16,515.9861387762021,509.5507025060545,509.4296276527577,512.7007008079285
2021-01-17,505.3151347568247,498.4138681189083,497.4555298733219,502.0625306470723
2021-01-18,488.1060886594213,481.56804658139515,481.2745939708622,485.5984027148677
2021-01-19,473.25492402706874,465.9145045314316,465.8673058598073,470.2362611592795
2021-01-20,459.1712508376482,451.41014752970875,452.15301357875006,455.5061713802235
2021-01-21,445.99666510603237,437.55220711762126,438.6172554034014,441.79187909916607
2021-01-22,431.7713959017393,422.9370358433895,424.859868683035,426.94892293144386
2021-01-23,422.67436497522016,413.46857189234976,415.52479228223734,417.01873284495014
2021-01-24,413.5629692355981,404.75323457113905,407.59541544937696,408.1310177665035
2021-01-25,401.018383164357,391.6956194605049,394.4085170208157,394.8640868077968
2021-01-26,389.4177705255994,379.6989484033356,382.5944843016706,383.63285507740216
2021-01-27,378.32608269391966,367.8479775933541,371.9829916508628,371.94400144386884
2021-01-28,366.9040041608707,356.3910130856265,361.07189004104947,360.238730881075
2021-01-29,356.1796451213965,346.4238849082966,350.7374330715141,349.4610168215039
2021-01-30,350.1443715019757,339.74835104771313,344.3902377961422,343.3498149042529
2021-01-31,344.7596187045053,334.22815858384286,337.93428036441884,337.81730974343725
2021-02-01,334.57907044678774,323.10568900979956,327.92405774778,327.34741310750206
2021-02-02,324.45803355763996,311.6528287343872,317.94872110581974,316.56354269945825
2021-02-03,315.9725332460774,302.598892247177,308.26683707439236,307.4747202375694
2021-02-04,306.29885767928045,292.51889768118053,298.484399351244,298.10475786209304
2021-02-05,298.05961130662655,282.06336585834845,288.66912776957446,289.62130966668803
2021-02-06,291.5174649962852,275.2072457758985,282.0428446967726,282.7795543973412
2021-02-07,284.4356121365023,267.61441599288,275.26060079599534,275.62587747204327
2021-02-08,275.7551607899704,258.7574826567968,265.68542680476173,267.1650025543716
2021-02-09,268.07409001217627,250.80758466236077,257.3004801849203,259.1432804944204
2021-02-10,259.865625381886,242.2789899114892,248.8498658480365,251.05794283358458
2021-02-11,258.49275967247,239.87596189097172,246.91266819528798,249.20077771098133
2021-02-12,256.33598559086124,237.02352043194585,244.47885843240692,246.23136563097387
2021-02-13,256.3770279140127,236.686973382104,244.5116922909281,246.71976927647611
2021-02-14,258.48249909168214,237.54886216828444,246.10823866151955,247.74993158757755
2021-02-15,258.38194539996107,235.99335812084445,245.63830406143546,246.37706587816155
2021-02-16,260.17549492167944,236.50638716023758,246.7177171603186,247.6740032897474
2021-02-17,262.8206726487905,237.77459494561742,249.21514252408446,249.87181969450756
2021-02-18,260.6515858702363,234.70462917388883,246.19647965629514,247.05426421016045
2021-02-19,259.8286872910497,232.9336529299038,245.0924411635211,245.90302704576223
2021-02-20,260.417644628273,232.6545651324739,245.16631734519376,245.5274897889265
2021-02-21,260.6084914309273,232.17642206775952,245.20941178450278,245.96253841433187
2021-02-22,261.24669955593237,231.7331649777238,246.15338521698615,246.82032296819722
2021-02-23,261.78024975690124,231.80704115939636,246.74439467036703,247.0296388162696
2021-02-24,262.9581644313478,231.54847452354227,247.4031239569478,247.20201657350572
2021-02-25,264.77839146311476,231.583360498221,248.9237420297091,248.23217888460712
2021-02-26,266.0568598292824,232.17026571928676,250.4115262439492,249.05302534763618
2021-02-27,267.5241228819468,232.92339234911591,251.6325353577049,250.98406665191197
2021-02-28,269.20275389884114,233.4384735046666,253.14084073352072,251.52582531751105
2021-03-01,272.2850323675151,234.85443365339168,254.7681688464758,252.8268669614121
2021-03-02,275.5109589672192,236.09185969640794,257.10347703379335,255.18885265877813
2021-03-03,278.61375859746903,237.67609337005393,259.07761277737814,257.9325319614525
2021-03-04,282.0202714190394,239.47169500792992,261.4888492625259,260.59412661782414
2021-03-05,286.0670444817725,240.8650818789217,263.1428548855294,263.8795645860979
2021-03-06,289.43046286403387,242.02452750795015,265.1990752754171,265.62386332003456
2021-03-07,292.62150348905925,243.19833795008168,266.9967290294506,268.20337333010326
2021-03-08,296.30505199190196,244.26749046817704,269.3648710752894,271.7022313787645
2021-03-09,300.5139422310833,245.99126804053796,271.57500017699505,274.59366304478425
2021-03-10,304.4560573697801,247.19791234119063,273.97802819751246,277.07877571160464
2021-03-11,308.5130910133011,247.96540378412274,276.12043746601825,280.072813185503
2021-03-12,312.43263287426475,248.75957273710335,278.66916573372333,281.9628121666273
2021-03-13,315.59494387308405,249.81641255825323,280.27597268510266,284.6449279845747
2021-03-14,318.6608054124974,251.23442482313578,281.9915417928333,287.20802106538275
2021-03-15,323.38067257491434,252.83712754220002,284.1606285713876,289.60078850511235
2021-03-16,328.1744159190039,252.88843044613935,285.87619767911815,292.47169900955635
2021-03-17,333.2595597574686,253.78930943931366,287.6697472008366,295.6032282660121
2021-03-18,337.117538133705,255.05136087622083,289.5392250203852,298.09449728130517
2021-03-19,342.19652562369726,255.62390128418352,291.5749242486972,301.7985669457237
2021-03-20,345.16798981986227,255.52129547630494,292.5291582619684,302.87592792844924
2021-03-21,349.09574014545615,255.53360817325037,293.6106234770092,305.2851122974396
2021-03-22,353.11173146582564,254.98774527533598,294.5402320963895,307.31055094496367
2021-03-23,356.11602952051186,254.74354345258496,295.6483748214787,309.39960519337245
2021-03-24,358.5867773742292,254.7517519172152,296.5574622792834,311.8026332138899
2021-03-25,361.25247626291605,253.6887557475926,296.81808103129504,313.4833163469419
2021-03-26,362.6910096893743,252.91510795618777,296.95967704616754,315.1681037123089
2021-03-27,364.8559922356133,252.19276306872226,297.6512401912695,316.99448709254847
2021-03-28,365.49830459293355,251.02921320737855,298.03498591273564,317.6675811922323
2021-03-29,366.077001349369,250.3109725522282,298.3510118010018,320.31275891934337
2021-03-30,366.06674076858127,249.55784592239908,298.3961583564684,322.0242237947588
2021-03-31,366.32120317212025,246.82647931666997,298.6383080630619,323.0030832019209
2021-04-01,365.553711729188,245.3961543548419,298.49055569971665,324.12559074011307
2021-04-02,362.299055503278,244.09511271094092,298.12117479135367,326.1346124583767
2021-04-03,362.25801318012657,243.42407072741472,298.66908980542553,328.393992347864
2021-04-04,362.16977218535095,242.61143272901595,298.7778519617768,329.8386821227951
2021-04-05,357.14619183161324,240.01755790584423,298.07602823588707,330.6492680050362
2021-04-06,355.52502006713087,237.2595137900667,297.4993835956091,331.51936525584716
2021-04-07,351.52339355986436,234.8872675119128,294.9444989794313,330.56923547489106
2021-04-08,348.3672389095179,230.92463121164025,292.33625934315654,330.4112225307579
2021-04-09,347.7167180875674,227.5468480162758,290.9346640075346,328.98089756892983
2021-04-10,345.00587264341414,224.90372240532236,289.266293571428,328.0205072071859
2021-04-11,340.6451258085724,220.54502768663818,285.5006604222824,326.017641837395
2021-04-12,336.6168217912574,214.79705032927748,279.9599467968365,321.2998267911358
2021-04-13,329.18816130084474,208.45395928622068,273.4362695319133,316.3090802959193
2021-04-14,324.1809978763677,203.6027566897192,269.3669231914469,314.1482019819953
2021-04-15,317.3556595362814,197.93070763018858,263.9165026769343,308.5972277757616
2021-04-16,308.98097349722775,190.74419684636953,256.1348782074191,302.5516935755528
2021-04-17,300.16713460045355,184.41341850025816,249.45524011452034,296.2270715779143
2021-04-18,293.462871113664,179.4821833736113,245.1765779259816,291.56671578406696
2021-04-19,283.9595211879454,171.9755424692109,237.05225005815183,284.3576317225145
2021-04-20,275.21340212437127,165.25691416931832,230.51420798012566,278.1253549519667
2021-04-21,265.67927045628915,158.39053350608054,223.4631368627063,270.7562058301236
2021-04-22,254.51165432677928,150.71767119291675,215.17669181842834,263.8446786114192
2021-04-23,243.41791437894196,143.35878265186153,207.2226895916771,255.38175157759
2021-04-24,236.9024455786491,138.12383433389388,201.58963073914038,249.98058185085904
2021-04-25,229.36502293188508,133.120775141732,195.08237040347782,244.7210081390005
2021-04-26,219.49434421396109,126.68533887158446,188.25292783107633,237.78280341024774
2021-04-27,208.30620692287548,120.08162907651597,180.05472378157398,229.25420865937616
2021-04-28,197.85683144851606,113.95401023000429,172.37980935225258,221.31457124572793
2021-04-29,187.8917553873437,108.09521860013464,165.03118139198529,212.81675823721991
2021-04-30,177.75635368509273,102.1892282986408,157.2044103670035,205.42914006995872
2021-05-01,169.6874329535175,98.0316409633988,151.54877823673357,199.43080454137413
2021-05-02,162.16847935217166,93.92740864825369,146.5026246052626,193.12259947299611
2021-05-03,152.1418398062721,87.9290731196691,138.20797109635433,184.4913989142459
2021-05-04,144.12216986247856,83.01425492228283,131.53038511961324,177.8589594929714
2021-05-05,135.5689497177161,77.85523490214541,124.56550288081195,170.5513738558555
2021-05-06,127.03214650221426,72.72084027589884,117.28869898605967,162.3552219225107
2021-05-07,120.2827364599581,68.82592380882615,111.78902768376518,155.8561700514784
2021-05-08,114.12433587108286,65.10133298283193,106.60948650205205,150.2210590827841
2021-05-09,107.80792233807452,61.785113272194685,100.92922897789121,143.7425283733276
2021-05-10,101.02978266961236,58.05847033004292,95.33926456466355,136.61963319039324
2021-05-11,94.45685461690745,54.315410458630566,89.77187342916919,129.697845390901
2021-05-12,87.93112523582673,50.677008511254414,84.05262569801447,122.86429858618436
2021-05-13,81.5818778442972,47.20482797264165,78.96337762723452,116.73873185583028
2021-05-14,75.29829816981002,44.01789157993146,74.21683295476919,110.44078736824008
2021-05-15,70.84725822403513,41.676427044141164,70.26035300296931,105.25303772189665
2021-05-16,67.17191818582269,39.527861427162705,67.30325361990724,101.10160673512738
2021-05-17,62.08267011504274,36.972976810984854,63.172343794713676,95.64708198829949
2021-05-18,56.95237972111134,34.31138215461325,58.89573372233246,89.48047293479395
2021-05-19,52.67987388104527,32.0786797751743,55.19782040638669,84.39327698017158
2021-05-20,49.27541317563238,30.21535830409842,51.73384833240421,79.65288865617896
2021-05-21,45.66163662214711,28.093470197168394,48.02157020335546,74.5410673076657
2021-05-22,43.10675200596928,26.663145235340316,45.53440542037751,71.11608544067711
2021-05-23,40.7037239854518,25.187673718045644,43.05134486971471,67.82859535624587
2021-05-24,37.1371461035907,23.30793531770918,39.71460399750173,63.65459109174329
2021-05-25,33.894802574626056,21.73806645716617,36.993497972560505,59.80892541245232
2021-05-26,31.335813726133065,20.20513568745947,34.24776655372843,55.95915550084619
2021-05-27,28.885587033991435,18.88357288198274,31.79343562927165,52.50954823996672
2021-05-28,26.54207038204357,17.584583354239314,29.646922128450758,49.17075525159616
2021-05-29,24.844970319731072,16.579046437028758,28.00728131855028,46.675382003987934
2021-05-30,23.248423949139614,15.721261883163425,26.306077023922626,44.29287514504619
2021-05-31,21.81194263883882,14.886050607031395,24.68080102712516,41.48147600917177
